Inyo ED Visits - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
92328,0,,,Not applicable
92384,0,,,Not applicable
92389,0,,,Not applicable
93513,56.391,1.428,1034.054,Rate is unstable interpret with caution
93514,129.547,73.578,217.362,Rate is stable
93526,0,,,Not applicable
93527,245.228,50.541,1292.156,Rate is unstable interpret with caution
93545,0,,,Not applicable
93555,47.254,26.567,79.239,Rate is stable
California,53.818,53.08,54.557,Rate is stable
Inyo,62.508,43.583,150.9,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
