Kern ED Visits - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93203,0,,,Not applicable
93205,24.393,0.618,697.709,Rate is unstable interpret with caution
93206,0,,,Not applicable
93215,0,,,Not applicable
93224,194.107,4.914,3870.308,Rate is unstable interpret with caution
93225,94.289,16.422,327.012,Rate is unstable interpret with caution
93226,0,,,Not applicable
93238,0,,,Not applicable
93240,89.816,26.281,417.844,Rate may be unstable
93241,9.097,0.23,142.925,Rate is unstable interpret with caution
93243,0,,,Not applicable
93249,0,,,Not applicable
93250,12.449,1.31,431.887,Rate is unstable interpret with caution
93251,0,,,Not applicable
93252,0,,,Not applicable
93255,0,,,Not applicable
93263,4.329,0.11,53.263,Rate is unstable interpret with caution
93268,48.566,20.416,116.502,Rate may be unstable
93276,0,,,Not applicable
93280,0,,,Not applicable
93283,50.187,5.659,1105.496,Rate is unstable interpret with caution
93285,48.234,1.221,1952.476,Rate is unstable interpret with caution
93287,0,,,Not applicable
93301,33.906,8.498,102.787,Rate is unstable interpret with caution
93304,25.532,12.882,47.319,Rate is stable
93305,61.72,37.275,100.946,Rate is stable
93306,15.727,7.787,30.31,Rate may be unstable
93307,31.836,17.894,57.193,Rate is stable
93308,64.243,43.895,91.674,Rate is stable
93309,21.865,11.323,39.361,Rate is stable
93311,16.848,7.255,41.48,Rate may be unstable
93312,27.387,14.82,49.074,Rate is stable
93313,23.386,9.756,52.638,Rate may be unstable
93314,46.55,18.426,110.451,Rate may be unstable
93461,0,,,Not applicable
93501,77.703,22.653,234.586,Rate may be unstable
93505,44.812,19.174,183.69,Rate may be unstable
93516,0,,,Not applicable
93518,0,,,Not applicable
93519,0,,,Not applicable
93523,260.624,15.359,1262.769,Rate is unstable interpret with caution
93524,0,,,Not applicable
93527,0,,,Not applicable
93528,0,,,Not applicable
93531,0,,,Not applicable
93536,32.325,20.016,51.07,Rate is stable
93554,0,,,Not applicable
93555,33.038,16.833,60.823,Rate is stable
93560,9.653,1.155,93.78,Rate is unstable interpret with caution
93561,36.627,18.562,66.47,Rate is stable
California,17.56,17.15,17.983,Rate is stable
Kern,26.145,22.792,29.925,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
