Kings ED Visits - by Zip Code 2012,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93202,31.474,0.797,554.73,Rate is unstable interpret with caution
93204,5.372,0.136,112.707,Rate is unstable interpret with caution
93212,18.725,4.979,66.359,Rate is unstable interpret with caution
93230,23.66,13.106,40.384,Rate is stable
93239,0,,,Not applicable
93242,115.589,22.714,372.282,Rate is unstable interpret with caution
93245,31.123,15.203,67.563,Rate may be unstable
93266,0,,,Not applicable
93631,34.043,12.057,83.975,Rate may be unstable
93656,12.438,0.315,251.652,Rate is unstable interpret with caution
California,16.885,16.48,17.305,Rate is stable
Kings,22.843,15.645,32.902,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
