Los Angeles ED Visits - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90001,11.249,3.965,31.502,Rate may be unstable
90002,10.69,2.355,40.402,Rate is unstable interpret with caution
90003,7.419,2.31,23.796,Rate may be unstable
90004,5.682,1.527,18.133,Rate is unstable interpret with caution
90005,10.382,3.207,31.38,Rate may be unstable
90006,7.281,2.317,22.029,Rate may be unstable
90007,6.964,1.33,31.113,Rate is unstable interpret with caution
90008,8.572,1.754,29.488,Rate is unstable interpret with caution
90010,0,,,Not applicable
90011,8.787,2.922,23.507,Rate may be unstable
90012,12.306,3.145,48.239,Rate is unstable interpret with caution
90013,34.971,11.006,896.528,Rate may be unstable
90014,29.974,3.486,1126.349,Rate is unstable interpret with caution
90015,5.437,0.138,43.818,Rate is unstable interpret with caution
90016,7.619,2.065,22.968,Rate is unstable interpret with caution
90017,2.513,0.064,36.87,Rate is unstable interpret with caution
90018,7.068,1.384,22.595,Rate is unstable interpret with caution
90019,7.25,2.325,19.144,Rate may be unstable
90020,3.411,0.401,27.042,Rate is unstable interpret with caution
90021,17.168,0.435,711.728,Rate is unstable interpret with caution
90022,5.319,1.097,16.688,Rate is unstable interpret with caution
90023,16.394,5.7,39.811,Rate may be unstable
90024,14.08,4.148,49.602,Rate may be unstable
90025,13.904,4.92,42.793,Rate may be unstable
90026,7.042,2.278,19.689,Rate may be unstable
90027,24.23,12.6,51.49,Rate is stable
90028,20.299,7.612,65.43,Rate may be unstable
90029,8.164,2.203,31.888,Rate is unstable interpret with caution
90031,7.432,1.493,25.482,Rate is unstable interpret with caution
90032,8.597,2.307,24.321,Rate is unstable interpret with caution
90033,13.958,5.411,32.474,Rate may be unstable
90034,2.574,0.312,16.999,Rate is unstable interpret with caution
90035,10.723,2.211,36.499,Rate is unstable interpret with caution
90036,12.636,2.01,45.933,Rate is unstable interpret with caution
90037,10.354,4.11,29.586,Rate may be unstable
90038,12.996,3.349,58.134,Rate is unstable interpret with caution
90039,3.292,0.083,29.781,Rate is unstable interpret with caution
90040,26.871,5.173,84.156,Rate is unstable interpret with caution
90041,3.705,0.094,27.103,Rate is unstable interpret with caution
90042,10.987,4.376,24.213,Rate may be unstable
90043,6.06,1.148,20.879,Rate is unstable interpret with caution
90044,16.153,8.493,29.523,Rate is stable
90045,5.765,1.165,21.629,Rate is unstable interpret with caution
90046,11.86,4.791,38.998,Rate may be unstable
90047,8.338,2.15,23.188,Rate is unstable interpret with caution
90048,24.424,10.175,110.63,Rate may be unstable
90049,3.303,0.084,23.84,Rate is unstable interpret with caution
90056,0,,,Not applicable
90057,18.136,7.264,40.165,Rate may be unstable
90058,0,,,Not applicable
90059,1.878,0.048,33.161,Rate is unstable interpret with caution
90061,4.644,0.118,45.634,Rate is unstable interpret with caution
90062,6.24,0.72,28.288,Rate is unstable interpret with caution
90063,8.063,2.136,23.228,Rate is unstable interpret with caution
90064,0,,,Not applicable
