Madera ED Visits - by Zip Code 2023,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93601,469.618,11.89,2616.545,Rate is unstable interpret with caution
93604,0,,,Not applicable
93610,62.954,33.541,114.837,Rate is stable
93614,45.244,14.64,138.884,Rate may be unstable
93622,15.091,0.382,135.453,Rate is unstable interpret with caution
93626,0,,,Not applicable
93636,9.59,0.243,63.248,Rate is unstable interpret with caution
93637,5.91,0.716,23.998,Rate is unstable interpret with caution
93638,33.104,19.21,58.898,Rate is stable
93643,81.86,2.073,844.4,Rate is unstable interpret with caution
93644,16.366,0.414,134.443,Rate is unstable interpret with caution
93645,0,,,Not applicable
93653,0,,,Not applicable
93669,0,,,Not applicable
93720,24.31,12.218,44.691,Rate is stable
California,60.517,59.712,61.33,Rate is stable
Madera,19.817,13.608,28.425,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
