Marin ED Visits - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94901,67.462,44.304,99.481,Rate is stable
94903,49.645,25.294,95.088,Rate is stable
94904,13.714,0.347,100.341,Rate is unstable interpret with caution
94920,7.151,0.181,132.59,Rate is unstable interpret with caution
94924,0,,,Not applicable
94925,12.043,0.305,418.905,Rate is unstable interpret with caution
94929,0,,,Not applicable
94930,21.074,1.845,111.889,Rate is unstable interpret with caution
94933,0,,,Not applicable
94937,0,,,Not applicable
94938,56.55,1.432,1515.178,Rate is unstable interpret with caution
94939,0,,,Not applicable
94940,0,,,Not applicable
94941,75.109,37.224,137.119,Rate may be unstable
94945,51.773,18.154,122.486,Rate may be unstable
94946,0,,,Not applicable
94947,47.208,18.487,102.116,Rate may be unstable
94949,59.361,22.756,128.989,Rate may be unstable
94952,82.798,54.272,124.115,Rate is stable
94956,0,,,Not applicable
94960,22.343,3.158,92.291,Rate is unstable interpret with caution
94963,0,,,Not applicable
94964,0,,,Not applicable
94965,26.666,5.246,119.544,Rate is unstable interpret with caution
94970,0,,,Not applicable
94971,0,,,Not applicable
94973,0,,,Not applicable
California,54.877,54.132,55.63,Rate is stable
Marin,30.77,23.55,39.905,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
