Mariposa ED Visits - by Zip Code 2020,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93601,0,,,Not applicable
93623,0,,,Not applicable
93653,0,,,Not applicable
95306,0,,,Not applicable
95311,204.411,27.704,2831.844,Rate is unstable interpret with caution
95318,0,,,Not applicable
95321,0,,,Not applicable
95325,0,,,Not applicable
95329,0,,,Not applicable
95338,53.348,12.644,165.006,Rate is unstable interpret with caution
95345,0,,,Not applicable
95369,0,,,Not applicable
95389,0,,,Not applicable
California,40.945,40.318,41.583,Rate is stable
Mariposa,39.478,15.845,90.963,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
