Mariposa ED Visits - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93601,0,,,Not applicable
93623,0,,,Not applicable
93653,0,,,Not applicable
95306,0,,,Not applicable
95311,39.885,1.01,3479.399,Rate is unstable interpret with caution
95318,0,,,Not applicable
95321,70.884,1.795,468.716,Rate is unstable interpret with caution
95325,0,,,Not applicable
95329,13.83,0.35,531.276,Rate is unstable interpret with caution
95338,40.653,6.487,137.722,Rate is unstable interpret with caution
95345,126.35,3.199,4875.461,Rate is unstable interpret with caution
95369,0,,,Not applicable
95389,0,,,Not applicable
California,54.877,54.132,55.63,Rate is stable
Mariposa,24.483,10.13,87.993,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
