Mendocino ED Visits - by Zip Code 2023,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95410,0,,,Not applicable
95415,104.06,2.635,1352.772,Rate is unstable interpret with caution
95417,0,,,Not applicable
95420,0,,,Not applicable
95427,378.273,9.577,3058.129,Rate is unstable interpret with caution
95428,228.814,61.979,604.192,Rate is unstable interpret with caution
95429,0,,,Not applicable
95432,0,,,Not applicable
95437,156.678,82.606,283.049,Rate is stable
95445,0,,,Not applicable
95449,51.674,1.308,916.625,Rate is unstable interpret with caution
95454,421.814,65.537,3526.841,Rate is unstable interpret with caution
95456,0,,,Not applicable
95459,0,,,Not applicable
95460,113.332,2.869,1821.096,Rate is unstable interpret with caution
95466,142.855,3.617,1590.656,Rate is unstable interpret with caution
95468,76.616,1.94,2767.298,Rate is unstable interpret with caution
95469,0,,,Not applicable
95470,74.728,22.971,372.39,Rate may be unstable
95482,266.749,209.164,336.146,Rate is stable
95488,0,,,Not applicable
95490,111.963,54.821,208.67,Rate may be unstable
95494,0,,,Not applicable
95585,0,,,Not applicable
95587,0,,,Not applicable
95589,0,,,Not applicable
California,60.517,59.712,61.33,Rate is stable
Mendocino,95.328,74.55,120.46,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
