Merced ED Visits - by Zip Code 2020,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93610,29.649,12.468,76.547,Rate may be unstable
93620,25.964,3.034,105.45,Rate is unstable interpret with caution
93622,0,,,Not applicable
93635,31.397,16.363,56.309,Rate is stable
95301,38.209,21.525,64.078,Rate is stable
95303,0,,,Not applicable
95315,0,,,Not applicable
95316,58.853,7.127,212.597,Rate is unstable interpret with caution
95317,0,,,Not applicable
95322,10.506,0.266,69.951,Rate is unstable interpret with caution
95324,0,,,Not applicable
95333,0,,,Not applicable
95334,64.316,33.789,119.093,Rate is stable
95340,131.967,93.16,182.746,Rate is stable
95341,25.799,10.919,61.297,Rate may be unstable
95348,28.002,12.576,56.735,Rate may be unstable
95360,11.738,0.297,75.283,Rate is unstable interpret with caution
95365,0,,,Not applicable
95369,0,,,Not applicable
95374,0,,,Not applicable
95380,26.449,13.377,48.897,Rate is stable
95388,25.001,5.114,91.389,Rate is unstable interpret with caution
California,40.945,40.318,41.583,Rate is stable
Merced,25.095,19.705,31.745,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
