Monterey ED Visits - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93426,0,,,Not applicable
93450,0,,,Not applicable
93451,30.312,0.767,297.88,Rate is unstable interpret with caution
93901,72.547,43.602,116.235,Rate is stable
93905,64.818,46.842,93.743,Rate is stable
93906,96.741,74.187,125.141,Rate is stable
93907,35.853,14.373,75.604,Rate may be unstable
93908,61.454,10.556,199.996,Rate is unstable interpret with caution
93920,0,,,Not applicable
93923,49.426,4.125,225.166,Rate is unstable interpret with caution
93924,128.481,8.635,601.297,Rate is unstable interpret with caution
93925,0,,,Not applicable
93926,10.895,0.276,114.728,Rate is unstable interpret with caution
93927,65.664,34.203,183.113,Rate is stable
93930,0,,,Not applicable
93932,0,,,Not applicable
93933,56.16,31.184,96.582,Rate is stable
93940,20.319,6.221,52.8,Rate may be unstable
93943,0,,,Not applicable
93944,0,,,Not applicable
93950,36.425,9.782,101.095,Rate is unstable interpret with caution
93953,103.72,2.626,854.238,Rate is unstable interpret with caution
93955,66.833,41.894,102.545,Rate is stable
93960,378.231,310.322,471.278,Rate is stable
95004,0,,,Not applicable
95012,30.292,5.792,144.675,Rate is unstable interpret with caution
95039,0,,,Not applicable
95076,33.509,21.929,49.379,Rate is stable
California,54.877,54.132,55.63,Rate is stable
Monterey,42.207,36.242,48.913,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
