Napa ED Visits - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94503,22.507,7.278,59.951,Rate may be unstable
94508,0,,,Not applicable
94515,41.016,6.959,150.891,Rate is unstable interpret with caution
94558,26.321,15.334,43.247,Rate is stable
94559,28.196,12.085,58.04,Rate may be unstable
94567,0,,,Not applicable
94574,0,,,Not applicable
94576,0,,,Not applicable
94599,34.042,4.013,995.842,Rate is unstable interpret with caution
95476,12.549,3.553,34.106,Rate may be unstable
California,20.042,19.608,20.488,Rate is stable
Napa,25.425,17.902,35.445,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
