Placer ED Visits - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95602,27.984,6.148,86.956,Rate is unstable interpret with caution
95603,34.599,13.766,72.883,Rate may be unstable
95626,0,,,Not applicable
95631,0,,,Not applicable
95648,22.785,10.945,43.84,Rate may be unstable
95650,20.307,1.104,116.159,Rate is unstable interpret with caution
95658,80.881,22.031,272.197,Rate is unstable interpret with caution
95661,9.26,1.801,30.693,Rate is unstable interpret with caution
95663,0,,,Not applicable
95668,121.663,3.08,1081.134,Rate is unstable interpret with caution
95677,22.859,7.347,58.225,Rate may be unstable
95678,26.483,13.569,49.287,Rate is stable
95681,0,,,Not applicable
95701,0,,,Not applicable
95703,35.02,0.887,2154.223,Rate is unstable interpret with caution
95713,11.722,0.297,82.729,Rate is unstable interpret with caution
95714,0,,,Not applicable
95715,0,,,Not applicable
95717,0,,,Not applicable
95722,99.5,15.571,556.005,Rate is unstable interpret with caution
95724,0,,,Not applicable
95746,49.799,14.238,140.613,Rate may be unstable
95747,21.191,10.473,38.876,Rate may be unstable
95765,12.238,3.325,33.618,Rate is unstable interpret with caution
96140,0,,,Not applicable
96141,0,,,Not applicable
96142,0,,,Not applicable
96143,11.199,0.284,804.854,Rate is unstable interpret with caution
96145,0,,,Not applicable
96146,0,,,Not applicable
96148,0,,,Not applicable
California,19.04,18.615,19.475,Rate is stable
Placer,23.23,18.335,29.095,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
