Plumas ED Visits - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95915,0,,,Not applicable
95923,0,,,Not applicable
95934,0,,,Not applicable
95947,33.326,0.844,815.733,Rate is unstable interpret with caution
95956,0,,,Not applicable
95971,22.103,0.56,222.326,Rate is unstable interpret with caution
95981,0,,,Not applicable
95983,0,,,Not applicable
95984,0,,,Not applicable
96020,391.726,97.084,1673.702,Rate is unstable interpret with caution
96103,39.203,0.993,2680.673,Rate is unstable interpret with caution
96105,0,,,Not applicable
96106,0,,,Not applicable
96114,0,,,Not applicable
96122,113.404,33.104,348.429,Rate may be unstable
96129,568.146,14.384,3335.355,Rate is unstable interpret with caution
96135,0,,,Not applicable
96137,140.725,17.042,621.039,Rate is unstable interpret with caution
California,17.56,17.15,17.983,Rate is stable
Plumas,75.975,39.748,138.898,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
