Riverside ED Visits - by Zip Code 2023,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91752,14.425,4.631,35.239,Rate may be unstable
92028,35.691,19.587,61.25,Rate is stable
92059,53.152,1.346,743.496,Rate is unstable interpret with caution
92201,324.531,280.103,374.588,Rate is stable
92203,25.457,10.505,60.511,Rate may be unstable
92210,0,,,Not applicable
92211,31.807,6.751,94.307,Rate is unstable interpret with caution
92220,495.943,410.109,596.684,Rate is stable
92223,76.197,54.305,105.257,Rate is stable
92225,42.2,17.963,86.602,Rate may be unstable
92230,162.331,33.466,2565.204,Rate is unstable interpret with caution
92234,67.356,45.712,96.995,Rate is stable
92236,174.65,137.389,220.466,Rate is stable
92239,0,,,Not applicable
92240,365.999,302.338,440.395,Rate is stable
92241,155.378,56.999,358.695,Rate may be unstable
92253,64.734,37.19,109.462,Rate is stable
92254,38.468,7.33,210.826,Rate is unstable interpret with caution
92260,93.162,53.706,155.558,Rate is stable
92262,490.084,393.78,609.436,Rate is stable
92264,45.764,14.752,151.088,Rate may be unstable
92270,83.147,31.641,219.504,Rate may be unstable
92274,24.143,4.968,89.246,Rate is unstable interpret with caution
92276,58.793,9.232,266.777,Rate is unstable interpret with caution
92282,49.505,1.253,1645.886,Rate is unstable interpret with caution
92320,93.053,36.666,203.618,Rate may be unstable
92324,103.111,78.032,134.487,Rate is stable
92337,22.235,10.089,55.276,Rate may be unstable
92373,202.656,152.968,266.346,Rate is stable
92399,222.555,176.47,277.83,Rate is stable
92501,278.501,212.513,361.448,Rate is stable
92503,92.124,72.779,115.595,Rate is stable
92504,88.592,64.55,119.751,Rate is stable
92505,49.874,32.298,75.396,Rate is stable
92506,106.635,76.986,144.755,Rate is stable
92507,95.26,67.265,132.783,Rate is stable
92508,55.928,32.881,90.499,Rate is stable
92509,67.426,49.374,90.473,Rate is stable
92518,0,,,Not applicable
92521,0,,,Not applicable
92530,94.49,70.684,124.682,Rate is stable
92532,53.772,27.518,360.57,Rate is stable
92536,61.261,1.551,1673.052,Rate is unstable interpret with caution
92539,185.196,43.524,691.155,Rate is unstable interpret with caution
92543,636.373,545.538,741.063,Rate is stable
92544,316.367,264.634,376.798,Rate is stable
92545,150.518,111.759,200.281,Rate is stable
92548,119.192,49.434,276.906,Rate may be unstable
92549,47.07,8.714,466.672,Rate is unstable interpret with caution
92551,50.658,29.123,88.026,Rate is stable
92553,37.148,23.835,58.973,Rate is stable
92555,46.947,29.022,75.099,Rate is stable
92557,36.002,21.006,60.833,Rate is stable
92561,0,,,Not applicable
92562,100.969,75.85,132.093,Rate is stable
92563,67.303,49.375,89.949,Rate is stable
92567,13.241,0.335,79.341,Rate is unstable interpret with caution
92570,72.328,50.79,101.063,Rate is stable
92571,50.518,33.267,80.541,Rate is stable
92582,174.034,111.757,306.081,Rate is stable
92583,131.683,92.387,185.399,Rate is stable
92584,42.95,26.396,66.693,Rate is stable
92585,37.878,16.975,75.536,Rate may be unstable
92586,89.033,39.591,181.824,Rate may be unstable
92587,100.837,55.722,172.61,Rate is stable
92590,51.82,9.852,237.328,Rate is unstable interpret with caution
92591,26.698,13.381,50.818,Rate may be unstable
92592,79.911,59.485,105.613,Rate is stable
92595,105.459,72.692,149.351,Rate is stable
92596,19.562,7.576,43.678,Rate may be unstable
92860,101.849,64.653,156.164,Rate is stable
92879,69.25,46.212,100.112,Rate is stable
92880,17.664,9.04,33.87,Rate is stable
92881,58.586,30.92,101.731,Rate is stable
92882,53.842,37.665,75.389,Rate is stable
92883,15.1,4.102,39.145,Rate is unstable interpret with caution
California,60.517,59.712,61.33,Rate is stable
Riverside,48.958,46.142,51.913,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
