Sacramento ED Visits - by Zip Code 2020,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94571,254.931,105.616,582.768,Rate may be unstable
95608,39.014,25.051,59.283,Rate is stable
95610,76.06,51.432,109.593,Rate is stable
95615,86.71,2.195,5137.678,Rate is unstable interpret with caution
95621,56.857,35.839,86.826,Rate is stable
95624,45.418,28.962,68.019,Rate is stable
95626,52.382,8.913,180.024,Rate is unstable interpret with caution
95628,84.669,57.546,122.254,Rate is stable
95630,33.461,20.598,52.437,Rate is stable
95632,47.206,26.575,79.16,Rate is stable
95638,0,,,Not applicable
95641,150.194,18.054,1356.97,Rate is unstable interpret with caution
95652,93.949,2.379,3507.115,Rate is unstable interpret with caution
95655,30.734,0.778,347.014,Rate is unstable interpret with caution
95660,111.979,78.553,157.164,Rate is stable
95662,26.562,11.336,54.846,Rate may be unstable
95670,28.201,16.389,46.592,Rate is stable
95673,24.501,6.676,71.309,Rate may be unstable
95678,38.905,22.785,63.509,Rate is stable
95683,45.909,1.162,255.786,Rate is unstable interpret with caution
95690,0,,,Not applicable
95693,36.77,0.931,204.871,Rate is unstable interpret with caution
95742,5.549,0.14,106.948,Rate is unstable interpret with caution
95757,15.94,6.591,33.964,Rate may be unstable
95758,37.304,23.721,56.365,Rate is stable
95811,76.894,17.643,456.029,Rate is unstable interpret with caution
95814,33.086,7.761,252.93,Rate is unstable interpret with caution
95815,70.361,39.427,130.36,Rate is stable
95816,66.824,28.188,192.292,Rate may be unstable
95817,18.134,3.652,74.237,Rate is unstable interpret with caution
95818,27.613,7.794,75.995,Rate may be unstable
95819,16.108,3.291,58.845,Rate is unstable interpret with caution
95820,68.641,44.69,103.146,Rate is stable
95821,103.835,72.658,146.565,Rate is stable
95822,40.391,23.229,66.253,Rate is stable
95823,89.586,69.716,114.605,Rate is stable
95824,45.349,24.587,79.934,Rate is stable
95825,65.77,42.343,100.378,Rate is stable
95826,55.99,34.906,87.088,Rate is stable
95827,31.386,10.871,74.74,Rate may be unstable
95828,49.439,32.332,72.746,Rate is stable
95829,53.119,28.238,98.162,Rate is stable
95830,1486.038,37.623,10311.607,Rate is unstable interpret with caution
95831,16.922,6.081,40.333,Rate may be unstable
95832,28.155,5.173,142.753,Rate is unstable interpret with caution
95833,26.955,12.579,56.141,Rate may be unstable
95834,26.095,9.864,67.376,Rate may be unstable
95835,27.524,12.293,58.483,Rate may be unstable
95836,0,,,Not applicable
95837,0,,,Not applicable
95838,51.908,31.138,84.281,Rate is stable
95841,52.016,27.312,100.77,Rate is stable
95842,56.554,34.007,91.399,Rate is stable
95843,10.58,3.398,30.442,Rate may be unstable
95864,9.296,0.939,40.332,Rate is unstable interpret with caution
California,40.945,40.318,41.583,Rate is stable
Sacramento,32.212,29.433,35.21,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
