San Benito ED Visits - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93925,40.415,1.023,2146.537,Rate is unstable interpret with caution
93930,5.577,0.141,78.698,Rate is unstable interpret with caution
95004,42.806,1.084,337.602,Rate is unstable interpret with caution
95023,36.042,21.692,57.296,Rate is stable
95043,0,,,Not applicable
95045,66.183,7.797,327.962,Rate is unstable interpret with caution
California,28.782,28.258,29.315,Rate is stable
San Benito,25.28,15.075,41.267,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
