San Bernardino ED Visits - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91701,101.766,71.677,141.353,Rate is stable
91708,39.535,4.788,404.07,Rate is unstable interpret with caution
91709,3.614,0.735,12.589,Rate is unstable interpret with caution
91710,52.25,38.236,70.959,Rate is stable
91730,36.361,23.27,55.924,Rate is stable
91737,11.638,3.028,43.442,Rate is unstable interpret with caution
91739,45.703,26.978,85.296,Rate is stable
91759,0,,,Not applicable
91761,29.564,17.869,54.204,Rate is stable
91762,23.502,12.746,41.755,Rate is stable
91763,24.962,11.86,48.761,Rate may be unstable
91764,41.935,26.374,65.695,Rate is stable
91765,10.522,3.189,27.246,Rate may be unstable
91784,28.324,10.546,66.107,Rate may be unstable
91786,58.963,39.096,85.879,Rate is stable
92242,214.678,5.435,1558.313,Rate is unstable interpret with caution
92252,48.802,12.075,159.806,Rate is unstable interpret with caution
92256,72.927,13.332,399.795,Rate is unstable interpret with caution
92267,0,,,Not applicable
92277,38.578,18.041,83.286,Rate may be unstable
92278,0,,,Not applicable
92280,0,,,Not applicable
92284,55.431,26.17,109.878,Rate may be unstable
92285,0,,,Not applicable
92301,11.079,3.007,42.668,Rate is unstable interpret with caution
92304,0,,,Not applicable
92305,0,,,Not applicable
92307,21.56,7.661,49.315,Rate may be unstable
92308,9.915,2.918,28.048,Rate may be unstable
92309,0,,,Not applicable
92310,0,,,Not applicable
92311,64.911,40.036,102.336,Rate is stable
92313,17.528,2.117,72.77,Rate is unstable interpret with caution
92314,37.446,9.834,107.062,Rate is unstable interpret with caution
92315,47.987,11.298,184.415,Rate is unstable interpret with caution
92316,3.187,0.081,21.814,Rate is unstable interpret with caution
92317,0,,,Not applicable
92321,492.826,32.866,2310.713,Rate is unstable interpret with caution
92322,0,,,Not applicable
92324,50.784,34.597,73.354,Rate is stable
92325,144.741,72.055,278.31,Rate may be unstable
92327,0,,,Not applicable
92332,0,,,Not applicable
92335,89.221,72.777,109.666,Rate is stable
92336,41.151,29.814,58.544,Rate is stable
92337,13.329,3.303,53.141,Rate is unstable interpret with caution
92338,0,,,Not applicable
92339,0,,,Not applicable
92342,0,,,Not applicable
92344,8.035,0.959,60.015,Rate is unstable interpret with caution
92345,23.181,13.257,38.264,Rate is stable
92346,41.756,26.531,63.243,Rate is stable
92347,0,,,Not applicable
92352,57.477,11.36,224.694,Rate is unstable interpret with caution
92354,9.086,1.1,39.802,Rate is unstable interpret with caution
92356,7.699,0.195,146.193,Rate is unstable interpret with caution
92358,0,,,Not applicable
92359,12.043,0.305,91.828,Rate is unstable interpret with caution
92363,68.146,13.887,250.683,Rate is unstable interpret with caution
92364,0,,,Not applicable
92365,0,,,Not applicable
92368,0,,,Not applicable
92371,42.988,14.375,102.392,Rate may be unstable
92372,0,,,Not applicable
92373,30.539,13.872,60.09,Rate may be unstable
92374,23.768,12.246,44.585,Rate is stable
92376,34.291,23.728,49.332,Rate is stable
92377,23.307,5.995,66.311,Rate is unstable interpret with caution
92382,129.785,41.901,328.456,Rate may be unstable
92385,0,,,Not applicable
92392,35.629,21.625,58.608,Rate is stable
92394,15.922,5.761,73.795,Rate may be unstable
92395,68.957,44.834,102.935,Rate is stable
92397,26.195,0.663,290.087,Rate is unstable interpret with caution
92399,78.475,55.552,108.44,Rate is stable
92401,1470.893,477.595,3432.574,Rate may be unstable
92404,50.453,33.796,73.275,Rate is stable
92405,42.345,21.685,80.602,Rate is stable
92407,25.339,14.272,46.618,Rate is stable
92408,62.507,27.448,145.951,Rate may be unstable
92410,37.702,21.529,65.91,Rate is stable
92411,23.953,8.424,56.073,Rate may be unstable
93528,0,,,Not applicable
93555,72.014,46.516,108.469,Rate is stable
93562,74.677,1.891,506.425,Rate is unstable interpret with caution
California,28.782,28.258,29.315,Rate is stable
San Bernardino,25.865,23.778,28.105,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
