San Diego ED Visits - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91901,21.657,4.261,68.793,Rate is unstable interpret with caution
91902,18.627,4.998,59.354,Rate is unstable interpret with caution
91905,0,,,Not applicable
91906,52.437,10.747,508.107,Rate is unstable interpret with caution
91910,16.883,8.784,30.172,Rate is stable
91911,25.12,15.374,39.321,Rate is stable
91913,6.602,1.351,24.114,Rate is unstable interpret with caution
91914,11.05,1.326,69.241,Rate is unstable interpret with caution
91915,9.739,1.998,71.02,Rate is unstable interpret with caution
91916,0,,,Not applicable
91917,0,,,Not applicable
91932,8.006,0.892,33.499,Rate is unstable interpret with caution
91934,0,,,Not applicable
91935,5.196,0.132,139.791,Rate is unstable interpret with caution
91941,27.779,12.985,54.781,Rate may be unstable
91942,20.651,8.511,45.334,Rate may be unstable
91945,32.961,14.96,66.468,Rate may be unstable
91950,21.119,10.648,38.723,Rate is stable
91962,0,,,Not applicable
91963,0,,,Not applicable
91977,19.449,9.882,35.651,Rate is stable
91978,17.188,2.043,94.159,Rate is unstable interpret with caution
91980,73.279,1.855,1645.753,Rate is unstable interpret with caution
92003,30.72,3.077,204.517,Rate is unstable interpret with caution
92004,19.62,0.497,480.362,Rate is unstable interpret with caution
92007,14.755,0.374,87.521,Rate is unstable interpret with caution
92008,25.858,10.245,59.435,Rate may be unstable
92009,30.683,13.493,60.581,Rate may be unstable
92010,11.17,1.294,60.621,Rate is unstable interpret with caution
92011,21.91,6.775,58.301,Rate may be unstable
92014,26.406,3.198,119.153,Rate is unstable interpret with caution
92019,12.668,4.736,30.012,Rate may be unstable
92020,31.033,18.218,50.476,Rate is stable
92021,28.385,17.347,45.001,Rate is stable
92024,18.796,7.816,39.177,Rate may be unstable
92025,39.352,23.613,63.291,Rate is stable
92026,22.137,11.394,40.943,Rate is stable
92027,43.944,28.228,67.347,Rate is stable
92028,20.791,9.663,40.689,Rate may be unstable
92029,27.544,8.487,70.333,Rate may be unstable
92036,0,,,Not applicable
92037,12.69,3.938,34.871,Rate may be unstable
92040,30.367,16.242,56.468,Rate is stable
92054,25.434,12.258,48.311,Rate may be unstable
92055,0,,,Not applicable
92056,39.433,25.036,60.781,Rate is stable
92057,18.592,9.214,34.402,Rate may be unstable
92058,13.038,2.483,43.771,Rate is unstable interpret with caution
92059,0,,,Not applicable
92061,149.084,13.142,912.222,Rate is unstable interpret with caution
92064,31.308,17.231,53.265,Rate is stable
92065,51.535,29.799,84.75,Rate is stable
