San Joaquin ED Visits - by Zip Code 2023,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94513,47.696,30.334,73.09,Rate is stable
94514,0,,,Not applicable
95202,556.032,379.49,810.267,Rate is stable
95203,233.431,160.869,331.699,Rate is stable
95204,426.437,346.194,521.277,Rate is stable
95205,154.312,115.091,204.366,Rate is stable
95206,172.82,141.408,210.668,Rate is stable
95207,84.854,59.081,119.309,Rate is stable
95209,58.472,37.476,88.209,Rate is stable
95210,97.118,66.878,137.956,Rate is stable
95211,0,,,Not applicable
95212,25.207,10.001,61.257,Rate may be unstable
95215,211.141,150.515,289.769,Rate is stable
95219,17.659,4.583,49.225,Rate is unstable interpret with caution
95220,28.471,2.871,130.618,Rate is unstable interpret with caution
95230,0,,,Not applicable
95231,103.201,37.649,509.453,Rate may be unstable
95236,126.933,8.427,595.79,Rate is unstable interpret with caution
95237,0,,,Not applicable
95240,229.688,186.163,281.203,Rate is stable
95242,91.097,55.605,143.534,Rate is stable
95258,77.201,8.793,382.656,Rate is unstable interpret with caution
95304,41.462,17.743,107.56,Rate may be unstable
95320,29.929,3.608,111.122,Rate is unstable interpret with caution
95330,34.093,16.119,116.71,Rate may be unstable
95336,131.148,97.356,173.6,Rate is stable
95337,107.823,77.852,150.152,Rate is stable
95361,77.528,49.747,116.92,Rate is stable
95366,37.962,14.642,84.587,Rate may be unstable
95376,72.399,50.881,101.712,Rate is stable
95377,25.736,11.092,56.165,Rate may be unstable
95385,0,,,Not applicable
95391,0,,,Not applicable
95632,83.501,52.19,127.786,Rate is stable
95690,91.396,2.314,1439.146,Rate is unstable interpret with caution
California,60.517,59.712,61.33,Rate is stable
San Joaquin,60.1,54.72,65.908,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
