San Luis Obispo ED Visits - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93252,25.523,0.646,1033.123,Rate is unstable interpret with caution
93401,56.748,31.687,97.323,Rate is stable
93402,71.456,32.324,141.155,Rate may be unstable
93405,16.569,4.205,69.504,Rate is unstable interpret with caution
93420,37.686,16.65,76.401,Rate may be unstable
93422,16.132,5.682,43.597,Rate may be unstable
93426,0,,,Not applicable
93428,29.248,1.848,237.203,Rate is unstable interpret with caution
93430,30.843,0.781,531.052,Rate is unstable interpret with caution
93432,0,,,Not applicable
93433,103.498,60.847,174.954,Rate is stable
93442,49.85,12.779,140.122,Rate is unstable interpret with caution
93444,148.773,96.338,221.539,Rate is stable
93445,50.109,13.31,149.731,Rate is unstable interpret with caution
93446,41.835,24.916,67.14,Rate is stable
93449,23.065,2.793,176.529,Rate is unstable interpret with caution
93451,0,,,Not applicable
93452,0,,,Not applicable
93453,0,,,Not applicable
93454,76.726,50.831,113.409,Rate is stable
93461,0,,,Not applicable
93465,25.355,2.355,120.245,Rate is unstable interpret with caution
California,28.782,28.258,29.315,Rate is stable
San Luis Obispo,36.52,29.57,44.842,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
