San Mateo ED Visits - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94002,14.669,3.764,42.267,Rate is unstable interpret with caution
94005,0,,,Not applicable
94010,2.099,0.053,19.801,Rate is unstable interpret with caution
94014,13.007,4.613,31.118,Rate may be unstable
94015,8.267,2.428,22.158,Rate may be unstable
94019,7.163,0.697,41.681,Rate is unstable interpret with caution
94020,0,,,Not applicable
94021,0,,,Not applicable
94025,18.771,8.033,39.994,Rate may be unstable
94027,0,,,Not applicable
94028,72.521,11.621,679.113,Rate is unstable interpret with caution
94030,19.629,5.19,55.09,Rate is unstable interpret with caution
94038,0,,,Not applicable
94044,18.667,7.244,41.601,Rate may be unstable
94060,0,,,Not applicable
94061,24.008,11.846,46.252,Rate may be unstable
94062,11.118,2.047,39.313,Rate is unstable interpret with caution
94063,14.879,5.203,45.172,Rate may be unstable
94065,26.56,5.477,98.04,Rate is unstable interpret with caution
94066,53.054,32.472,82.988,Rate is stable
94070,20.929,6.214,55.421,Rate may be unstable
94074,0,,,Not applicable
94080,13.008,6.122,25.835,Rate may be unstable
94128,0,,,Not applicable
94303,12.036,4.352,28.343,Rate may be unstable
94401,7.713,1.441,27.342,Rate is unstable interpret with caution
94402,29.194,11.999,64.152,Rate may be unstable
94403,17.126,6.66,38.195,Rate may be unstable
94404,2.706,0.069,23.241,Rate is unstable interpret with caution
California,21.44,20.988,21.9,Rate is stable
San Mateo,15.245,12.595,18.335,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
