Santa Barbara ED Visits - by Zip Code 2012,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93013,19.381,3.931,63.084,Rate is unstable interpret with caution
93067,0,,,Not applicable
93101,29.454,13.585,63.475,Rate may be unstable
93103,38.615,17.294,78.316,Rate may be unstable
93105,11.855,2.419,43.87,Rate is unstable interpret with caution
93106,0,,,Not applicable
93108,0,,,Not applicable
93109,16.454,1.991,112.372,Rate is unstable interpret with caution
93110,19.952,3.994,68.668,Rate is unstable interpret with caution
93111,31.654,7.8,93.715,Rate is unstable interpret with caution
93117,8.609,1.925,27.926,Rate is unstable interpret with caution
93252,26.859,0.68,904.059,Rate is unstable interpret with caution
93254,278.602,7.054,2467.118,Rate is unstable interpret with caution
93427,15.801,0.4,136.667,Rate is unstable interpret with caution
93429,0,,,Not applicable
93434,13.705,0.347,135.763,Rate is unstable interpret with caution
93436,30.457,17.274,50.675,Rate is stable
93437,0,,,Not applicable
93441,0,,,Not applicable
93454,35.261,18.685,62.127,Rate is stable
93455,26.423,12.496,51.659,Rate may be unstable
93458,8.869,3.14,25.082,Rate may be unstable
93460,46.413,5.455,494.474,Rate is unstable interpret with caution
93463,28.108,2.955,125.987,Rate is unstable interpret with caution
California,16.885,16.48,17.305,Rate is stable
Santa Barbara,21.852,17.587,26.958,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
