Santa Clara ED Visits - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94022,0,,,Not applicable
94024,0,,,Not applicable
94035,0,,,Not applicable
94040,0,,,Not applicable
94041,0,,,Not applicable
94043,3.562,0.09,33.621,Rate is unstable interpret with caution
94085,2.19,0.055,48.125,Rate is unstable interpret with caution
94086,13.854,4.67,34.44,Rate may be unstable
94087,3.654,0.425,16.718,Rate is unstable interpret with caution
94089,9.874,0.953,48.528,Rate is unstable interpret with caution
94301,4.161,0.105,38.979,Rate is unstable interpret with caution
94303,5.812,1.182,21.119,Rate is unstable interpret with caution
94304,0,,,Not applicable
94305,0,,,Not applicable
94306,8.554,1.763,30.723,Rate is unstable interpret with caution
94550,14.644,5.36,32.49,Rate may be unstable
95002,0,,,Not applicable
95008,13.833,4.987,31.939,Rate may be unstable
95013,0,,,Not applicable
95014,6.658,1.162,23.063,Rate is unstable interpret with caution
95020,23.972,13.001,42.081,Rate is stable
95023,10.306,3.335,26.536,Rate may be unstable
95030,5.229,0.132,68.907,Rate is unstable interpret with caution
95032,17.421,2.968,57.144,Rate is unstable interpret with caution
95033,37.917,5.35,143.445,Rate is unstable interpret with caution
95035,1.15,0.029,8.898,Rate is unstable interpret with caution
95037,7.379,1.479,23.941,Rate is unstable interpret with caution
95046,0,,,Not applicable
95050,9.58,2.592,29.454,Rate is unstable interpret with caution
95051,4.499,0.899,16.798,Rate is unstable interpret with caution
95053,0,,,Not applicable
95054,17.14,3.535,62.619,Rate is unstable interpret with caution
95070,6.868,0.174,53.931,Rate is unstable interpret with caution
95076,25.507,15.826,40.048,Rate is stable
95110,13.834,2.805,77.627,Rate is unstable interpret with caution
95111,7.369,2.39,22.305,Rate may be unstable
95112,7.447,2.022,25.806,Rate is unstable interpret with caution
95113,516.863,164.527,1363.352,Rate may be unstable
95116,12.048,4.407,26.895,Rate may be unstable
95117,6.672,0.748,31.924,Rate is unstable interpret with caution
95118,13.682,3.635,37.266,Rate is unstable interpret with caution
95119,11.858,0.3,104.04,Rate is unstable interpret with caution
95120,0,,,Not applicable
95121,0,,,Not applicable
95122,1.822,0.046,13.384,Rate is unstable interpret with caution
95123,15.176,6.841,30.026,Rate may be unstable
95124,23.15,10.769,44.576,Rate may be unstable
95125,10.419,3.709,25.613,Rate may be unstable
95126,11.265,2.891,38.408,Rate is unstable interpret with caution
95127,5.878,1.592,16.626,Rate is unstable interpret with caution
95128,13.721,5.475,36.98,Rate may be unstable
95129,6.549,0.777,24.654,Rate is unstable interpret with caution
95130,4.806,0.122,44.512,Rate is unstable interpret with caution
95131,0,,,Not applicable
95132,0,,,Not applicable
95133,0,,,Not applicable
95134,8.161,1.421,355.978,Rate is unstable interpret with caution
95135,2.277,0.058,43.709,Rate is unstable interpret with caution
95136,11.888,3.725,32.14,Rate may be unstable
95138,3.1,0.078,67.084,Rate is unstable interpret with caution
95139,0,,,Not applicable
95140,0,,,Not applicable
95148,6.729,1.693,21.232,Rate is unstable interpret with caution
California,19.04,18.615,19.475,Rate is stable
Santa Clara,7.492,6.343,8.812,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
