Santa Clara ED Visits - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94022,6.179,0.156,64.904,Rate is unstable interpret with caution
94024,12.742,0.323,70.994,Rate is unstable interpret with caution
94040,5.163,0.622,23.479,Rate is unstable interpret with caution
94041,10.226,0.993,88.25,Rate is unstable interpret with caution
94043,11.273,2.823,41.919,Rate is unstable interpret with caution
94085,6.289,0.644,63.869,Rate is unstable interpret with caution
94086,6.669,1.144,25.925,Rate is unstable interpret with caution
94087,3.231,0.361,18.027,Rate is unstable interpret with caution
94089,6.991,0.764,43.585,Rate is unstable interpret with caution
94301,6.698,0.17,50.347,Rate is unstable interpret with caution
94303,8.203,2.206,22.813,Rate is unstable interpret with caution
94304,0,,,Not applicable
94305,16.968,0.43,200.882,Rate is unstable interpret with caution
94306,7.655,0.927,34.59,Rate is unstable interpret with caution
94550,14.832,5.89,32.299,Rate may be unstable
95002,65.925,1.669,604.738,Rate is unstable interpret with caution
95008,10.563,3.135,28.353,Rate may be unstable
95013,0,,,Not applicable
95014,0,,,Not applicable
95020,25.638,14.538,42.816,Rate is stable
95023,36.042,21.692,57.296,Rate is stable
95030,0,,,Not applicable
95032,11.504,0.778,53.761,Rate is unstable interpret with caution
95033,0,,,Not applicable
95035,2.019,0.244,9.679,Rate is unstable interpret with caution
95037,0,,,Not applicable
95046,17.758,0.45,125.555,Rate is unstable interpret with caution
95050,1.741,0.044,16.458,Rate is unstable interpret with caution
95051,8.93,2.211,25.07,Rate is unstable interpret with caution
95053,0,,,Not applicable
95054,3.924,0.099,35.177,Rate is unstable interpret with caution
95070,1.616,0.041,31.688,Rate is unstable interpret with caution
95076,24.498,15.589,37.535,Rate is stable
95110,0,,,Not applicable
95111,13.494,6.09,30.525,Rate may be unstable
95112,24.862,14.513,42.939,Rate is stable
95113,277.353,53.194,2360.888,Rate is unstable interpret with caution
95116,22.004,11.267,39.242,Rate is stable
95117,5.079,0.605,26.005,Rate is unstable interpret with caution
95118,5.253,0.636,24.763,Rate is unstable interpret with caution
95119,16.518,1.891,81.272,Rate is unstable interpret with caution
95120,4.411,0.503,32.737,Rate is unstable interpret with caution
95121,6.481,1.268,21.933,Rate is unstable interpret with caution
95122,6.1,1.631,17.956,Rate is unstable interpret with caution
95123,10.239,4.058,22.466,Rate may be unstable
95124,39.194,22.055,65.201,Rate is stable
95125,9.286,3.31,25.051,Rate may be unstable
95126,5.312,0.611,27.704,Rate is unstable interpret with caution
95127,3.41,0.409,12.679,Rate is unstable interpret with caution
95128,7.511,0.765,30.939,Rate is unstable interpret with caution
95129,13.358,3.64,35.718,Rate is unstable interpret with caution
95130,0,,,Not applicable
95131,0,,,Not applicable
95132,9.927,2.668,27.689,Rate is unstable interpret with caution
95133,3.814,0.097,23.71,Rate is unstable interpret with caution
95134,0,,,Not applicable
95135,7.809,1.494,44.881,Rate is unstable interpret with caution
95136,11.037,3.576,27.882,Rate may be unstable
95138,10.073,1.155,61.785,Rate is unstable interpret with caution
95139,0,,,Not applicable
95140,0,,,Not applicable
95148,14.13,5.659,30.988,Rate may be unstable
California,28.782,28.258,29.315,Rate is stable
Santa Clara,7.72,6.555,9.047,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
