Santa Cruz ED Visits - by Zip Code 2017,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95003,29.682,11.858,70.152,Rate may be unstable
95005,32.478,2.842,208.419,Rate is unstable interpret with caution
95006,19.794,0.501,240.787,Rate is unstable interpret with caution
95010,13.219,1.593,97.172,Rate is unstable interpret with caution
95017,0,,,Not applicable
95018,71.289,20.404,204.189,Rate may be unstable
95019,0,,,Not applicable
95033,0,,,Not applicable
95060,47.137,28.952,75.477,Rate is stable
95062,27.078,12.748,52.959,Rate may be unstable
95064,0,,,Not applicable
95065,8.891,0.225,86.766,Rate is unstable interpret with caution
95066,16.197,1.82,63.551,Rate is unstable interpret with caution
95073,13.766,1.321,79.048,Rate is unstable interpret with caution
95076,14.475,7.118,26.915,Rate may be unstable
California,20.163,19.727,20.605,Rate is stable
Santa Cruz,25.918,20.075,33.11,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
