Shasta ED Visits - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
96001,255.4,199.066,324.09,Rate is stable
96002,111.417,76.91,158.09,Rate is stable
96003,115.115,81.626,159.445,Rate is stable
96007,123.7,78.615,189.65,Rate is stable
96008,0,,,Not applicable
96013,210.132,51.881,590.26,Rate is unstable interpret with caution
96016,0,,,Not applicable
96019,170.629,94.187,292.935,Rate is stable
96022,8.947,0.227,61.613,Rate is unstable interpret with caution
96025,54.204,1.372,479.879,Rate is unstable interpret with caution
96028,0,,,Not applicable
96033,655.813,16.604,8053.248,Rate is unstable interpret with caution
96040,0,,,Not applicable
96047,496.074,135.164,2567.111,Rate is unstable interpret with caution
96051,0,,,Not applicable
96056,71.143,1.801,1374.857,Rate is unstable interpret with caution
96062,0,,,Not applicable
96065,0,,,Not applicable
96069,0,,,Not applicable
96071,0,,,Not applicable
96073,0,,,Not applicable
96076,0,,,Not applicable
96087,0,,,Not applicable
96088,70.729,1.791,412.605,Rate is unstable interpret with caution
96096,0,,,Not applicable
California,46.2,45.495,46.913,Rate is stable
Shasta,80.04,66.81,95.392,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
