Siskiyou ED Visits - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95568,907.849,22.985,28363.343,Rate is unstable interpret with caution
96014,0,,,Not applicable
96023,0,,,Not applicable
96025,64.282,7.785,513.359,Rate is unstable interpret with caution
96027,0,,,Not applicable
96031,0,,,Not applicable
96032,0,,,Not applicable
96034,0,,,Not applicable
96038,0,,,Not applicable
96039,68.183,8.257,905.481,Rate is unstable interpret with caution
96044,128.645,3.257,1824.343,Rate is unstable interpret with caution
96050,0,,,Not applicable
96057,172.401,35.553,3869.14,Rate is unstable interpret with caution
96058,0,,,Not applicable
96064,82.465,16.418,258.608,Rate is unstable interpret with caution
96067,0,,,Not applicable
96085,0,,,Not applicable
96086,0,,,Not applicable
96094,11.723,0.297,128.947,Rate is unstable interpret with caution
96097,66.194,27.354,156.986,Rate may be unstable
96134,0,,,Not applicable
California,20.042,19.608,20.488,Rate is stable
Siskiyou,46.427,27.53,75.85,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
