Solano ED Visits - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94503,5.13,0.13,47.158,Rate is unstable interpret with caution
94510,29.621,11.662,63.842,Rate may be unstable
94512,0,,,Not applicable
94533,16.25,8.516,29.153,Rate is stable
94534,14.72,4.737,36.193,Rate may be unstable
94535,0,,,Not applicable
94571,63.853,14.24,213.987,Rate is unstable interpret with caution
94585,22.448,8.746,50.861,Rate may be unstable
94589,34.096,16.485,65.529,Rate may be unstable
94590,48.339,28.917,78.739,Rate is stable
94591,22.502,11.384,41.07,Rate is stable
94592,0,,,Not applicable
95616,7.771,1.293,31.538,Rate is unstable interpret with caution
95618,0,,,Not applicable
95620,14.142,2.898,56.977,Rate is unstable interpret with caution
95687,18.496,10.012,32.54,Rate is stable
95688,18.594,7.336,40.675,Rate may be unstable
95690,0,,,Not applicable
95694,0,,,Not applicable
California,21.44,20.988,21.9,Rate is stable
Solano,23.643,19.362,28.697,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
