Sonoma ED Visits - by Zip Code 2017,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94515,8.825,0.223,99.451,Rate is unstable interpret with caution
94922,0,,,Not applicable
94923,0,,,Not applicable
94928,27.773,14.047,51.724,Rate is stable
94931,32.591,6.721,123.534,Rate is unstable interpret with caution
94951,0,,,Not applicable
94952,39.111,20.079,71.152,Rate is stable
94954,9.244,2.361,26.344,Rate is unstable interpret with caution
94972,0,,,Not applicable
95401,32.039,17.419,57.662,Rate is stable
95403,31.067,16.971,53.817,Rate is stable
95404,45.422,26.938,73.519,Rate is stable
95405,64.216,30.723,122.13,Rate may be unstable
95407,29.819,16.17,56.388,Rate is stable
95409,43.256,16.866,92.449,Rate may be unstable
95412,0,,,Not applicable
95421,0,,,Not applicable
95425,30.719,5.172,106.641,Rate is unstable interpret with caution
95436,29.332,0.743,171.428,Rate is unstable interpret with caution
95439,0,,,Not applicable
95441,0,,,Not applicable
95442,62.048,1.571,345.709,Rate is unstable interpret with caution
95444,0,,,Not applicable
95446,22.8,4.647,307.428,Rate is unstable interpret with caution
95448,38.373,15.061,90.019,Rate may be unstable
95450,0,,,Not applicable
95452,0,,,Not applicable
95462,0,,,Not applicable
95465,0,,,Not applicable
95472,23.443,8.99,56.798,Rate may be unstable
95476,27.073,12.179,54.444,Rate may be unstable
95480,0,,,Not applicable
95492,18.888,5.861,47.343,Rate may be unstable
95497,0,,,Not applicable
California,20.163,19.727,20.605,Rate is stable
Sonoma,31.267,26.52,36.712,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
