Stanislaus ED Visits - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95230,0,,,Not applicable
95307,30.409,15.542,54.369,Rate is stable
95313,0,,,Not applicable
95316,25.665,2.521,121.283,Rate is unstable interpret with caution
95322,25.815,3.099,113.713,Rate is unstable interpret with caution
95323,0,,,Not applicable
95326,54.296,16.353,143.441,Rate may be unstable
95329,21.801,0.552,355.577,Rate is unstable interpret with caution
95350,41.858,26.124,65.198,Rate is stable
95351,82.012,58.25,113.862,Rate is stable
95354,95.38,59.934,146.714,Rate is stable
95355,29.609,17.306,48.022,Rate is stable
95356,30.096,15.278,56.601,Rate is stable
95357,21.537,2.608,90.107,Rate is unstable interpret with caution
95358,34.156,16.856,65.294,Rate may be unstable
95360,35.316,9.522,213.156,Rate is unstable interpret with caution
95361,41.511,22.69,70.999,Rate is stable
95363,17.139,4.4,55.92,Rate is unstable interpret with caution
95367,22.828,8.209,56.156,Rate may be unstable
95368,32.571,10.552,267.685,Rate may be unstable
95380,24.235,11.526,47.204,Rate may be unstable
95382,12.268,3.823,31.374,Rate may be unstable
95385,0,,,Not applicable
95386,9.422,0.239,131.32,Rate is unstable interpret with caution
California,21.44,20.988,21.9,Rate is stable
Stanislaus,35.82,30.997,41.258,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
