Sutter ED Visits - by Zip Code 2020,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95626,52.382,8.913,180.024,Rate is unstable interpret with caution
95645,0,,,Not applicable
95659,0,,,Not applicable
95668,353.386,35.599,2906.204,Rate is unstable interpret with caution
95674,0,,,Not applicable
95692,27.153,3.265,169.747,Rate is unstable interpret with caution
95953,21.844,4.4,82.886,Rate is unstable interpret with caution
95957,73.066,1.85,1200.345,Rate is unstable interpret with caution
95982,0,,,Not applicable
95991,97.07,67.358,137.022,Rate is stable
95993,21.538,9.137,44.702,Rate may be unstable
California,40.945,40.318,41.583,Rate is stable
Sutter,40.252,28.595,55.582,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
