Tehama ED Visits - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95428,248.258,73.968,657.414,Rate may be unstable
95963,15.891,1.909,70.638,Rate is unstable interpret with caution
95973,80.401,53.103,118.342,Rate is stable
96021,127.384,72.258,213.46,Rate is stable
96022,50.713,19.764,120.297,Rate may be unstable
96035,26.469,0.67,6423.182,Rate is unstable interpret with caution
96055,23.178,0.587,172.063,Rate is unstable interpret with caution
96059,0,,,Not applicable
96063,0,,,Not applicable
96075,58.891,1.491,3270.644,Rate is unstable interpret with caution
96076,0,,,Not applicable
96080,141.123,97.44,198.816,Rate is stable
California,54.877,54.132,55.63,Rate is stable
Tehama,71.608,51.145,98.615,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
