Trinity ED Visits - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95526,0,,,Not applicable
95527,0,,,Not applicable
95552,339.036,8.584,3634.692,Rate is unstable interpret with caution
95563,0,,,Not applicable
95595,0,,,Not applicable
96010,0,,,Not applicable
96024,0,,,Not applicable
96041,35.211,0.891,716.338,Rate is unstable interpret with caution
96046,0,,,Not applicable
96048,218.065,5.521,2935.46,Rate is unstable interpret with caution
96052,39.104,0.99,792.125,Rate is unstable interpret with caution
96076,0,,,Not applicable
96091,0,,,Not applicable
96093,364.409,125.018,1059.384,Rate may be unstable
California,19.04,18.615,19.475,Rate is stable
Trinity,108.938,51.737,204.732,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
