Tulare ED Visits - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93207,0,,,Not applicable
93212,125.856,88.657,181.823,Rate is stable
93215,13.484,6.047,28.991,Rate may be unstable
93219,0,,,Not applicable
93221,11.969,1.362,54,Rate is unstable interpret with caution
93223,11.155,0.282,159.71,Rate is unstable interpret with caution
93235,21.076,0.534,303.597,Rate is unstable interpret with caution
93244,0,,,Not applicable
93247,4.93,0.125,38.653,Rate is unstable interpret with caution
93256,0,,,Not applicable
93257,15.142,7.797,27.288,Rate is stable
93260,0,,,Not applicable
93262,0,,,Not applicable
93265,0,,,Not applicable
93267,16.662,0.422,117.932,Rate is unstable interpret with caution
93270,0,,,Not applicable
93271,0,,,Not applicable
93272,0,,,Not applicable
93274,24.233,14.16,40.087,Rate is stable
93277,56.3,38.214,81.244,Rate is stable
93286,0,,,Not applicable
93291,29.285,16.662,50.103,Rate is stable
93292,29.575,15.381,54.824,Rate is stable
93527,217.476,20.359,1276.483,Rate is unstable interpret with caution
93603,0,,,Not applicable
93615,0,,,Not applicable
93618,20.557,7.976,47.428,Rate may be unstable
93631,0,,,Not applicable
93633,0,,,Not applicable
93646,29.853,3.285,153.372,Rate is unstable interpret with caution
93647,11.447,1.385,144.801,Rate is unstable interpret with caution
93654,14.991,3.923,40.698,Rate is unstable interpret with caution
California,28.782,28.258,29.315,Rate is stable
Tulare,17.877,14.242,22.26,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
