Tuolumne ED Visits - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95309,0,,,Not applicable
95310,0,,,Not applicable
95311,244.685,6.195,1582.061,Rate is unstable interpret with caution
95321,0,,,Not applicable
95327,94.455,48.153,223.632,Rate is stable
95329,178.232,21.496,1712.874,Rate is unstable interpret with caution
95335,0,,,Not applicable
95346,0,,,Not applicable
95364,0,,,Not applicable
95370,51.652,25.838,97.226,Rate may be unstable
95372,0,,,Not applicable
95379,0,,,Not applicable
95383,36.56,0.926,2720.195,Rate is unstable interpret with caution
California,46.2,45.495,46.913,Rate is stable
Tuolumne,47.9,29.47,74.955,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
