Ventura ED Visits - by Zip Code 2020,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90265,70.607,28.427,157.801,Rate may be unstable
91301,6.85,0.79,34.209,Rate is unstable interpret with caution
91307,221.097,158.011,302.847,Rate is stable
91320,6.815,1.343,24.229,Rate is unstable interpret with caution
91360,35.614,18.232,63.566,Rate is stable
91361,150.492,94.936,233.463,Rate is stable
91362,3.384,0.086,22.526,Rate is unstable interpret with caution
91377,86.72,32.609,196.271,Rate may be unstable
93001,79.644,50.64,120.873,Rate is stable
93003,55.179,36.706,80.956,Rate is stable
93004,63.886,38.058,102.508,Rate is stable
93010,76.435,50.801,110.945,Rate is stable
93012,28.211,12.943,56.383,Rate may be unstable
93015,52.931,22.364,110.002,Rate may be unstable
93021,7.748,1.981,26.585,Rate is unstable interpret with caution
93022,28.926,3.299,159.552,Rate is unstable interpret with caution
93023,60.583,29.353,125.14,Rate may be unstable
93030,264.296,224.544,310.366,Rate is stable
93033,91.417,72.336,115.24,Rate is stable
93035,66.324,40.203,108.196,Rate is stable
93036,42.914,26.251,68.072,Rate is stable
93041,29.75,10.895,69.885,Rate may be unstable
93042,0,,,Not applicable
93043,0,,,Not applicable
93060,47.845,26.396,81.905,Rate is stable
93063,86.49,63.031,116.2,Rate is stable
93065,84.19,63.339,110.1,Rate is stable
93066,41.134,1.041,296.321,Rate is unstable interpret with caution
93225,0,,,Not applicable
93243,0,,,Not applicable
93252,72.944,8.618,489.421,Rate is unstable interpret with caution
California,40.945,40.318,41.583,Rate is stable
Ventura,43.84,39.373,48.715,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
