Yolo ED Visits - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95605,35.58,11.185,92.541,Rate may be unstable
95606,0,,,Not applicable
95607,0,,,Not applicable
95612,0,,,Not applicable
95615,0,,,Not applicable
95616,9.498,2.556,32.772,Rate is unstable interpret with caution
95618,0,,,Not applicable
95627,0,,,Not applicable
95637,0,,,Not applicable
95645,0,,,Not applicable
95653,0,,,Not applicable
95679,0,,,Not applicable
95691,9.278,2.506,26.809,Rate is unstable interpret with caution
95694,18.64,1.504,116.325,Rate is unstable interpret with caution
95695,25.034,12.23,46.938,Rate may be unstable
95698,0,,,Not applicable
95776,45.367,23.375,92.549,Rate is stable
95937,0,,,Not applicable
California,28.782,28.258,29.315,Rate is stable
Yolo,13.15,8.885,19.112,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
