Amador Hospitalizations - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95629,0,,,Not applicable
95640,13.558,1.624,98.003,Rate is unstable interpret with caution
95642,26.281,2.266,134.589,Rate is unstable interpret with caution
95665,43.665,9.001,578.681,Rate is unstable interpret with caution
95666,19.192,0.486,493.676,Rate is unstable interpret with caution
95669,36.48,0.924,335.483,Rate is unstable interpret with caution
95685,115.212,19.305,521.511,Rate is unstable interpret with caution
95689,0,,,Not applicable
Amador,32.498,16,63.312,Rate may be unstable
California,11.955,11.617,12.3,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
