Butte Hospitalizations - by Zip Code 2019,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95901,14.977,3.696,43.804,Rate is unstable interpret with caution
95914,32.022,0.811,1684.511,Rate is unstable interpret with caution
95916,0,,,Not applicable
95917,20.109,0.509,240.966,Rate is unstable interpret with caution
95926,9.717,2.638,29.894,Rate is unstable interpret with caution
95928,17.826,5.477,45.788,Rate may be unstable
95938,29.828,3.405,263.254,Rate is unstable interpret with caution
95941,0,,,Not applicable
95942,0,,,Not applicable
95948,12.964,1.563,69.761,Rate is unstable interpret with caution
95954,79.067,37.066,170.406,Rate may be unstable
95965,94.401,59.69,147.461,Rate is stable
95966,115.331,78.047,167.862,Rate is stable
95968,34.313,0.869,1609.625,Rate is unstable interpret with caution
95969,6.256,0.758,39.302,Rate is unstable interpret with caution
95973,16.67,5.964,39.124,Rate may be unstable
Butte,27.025,20.812,34.905,Rate is stable
California,9.808,9.509,10.114,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
