Calaveras Hospitalizations - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95222,0,,,Not applicable
95223,0,,,Not applicable
95228,71.135,5.971,313.688,Rate is unstable interpret with caution
95230,0,,,Not applicable
95232,0,,,Not applicable
95236,0,,,Not applicable
95245,47.547,1.204,854.143,Rate is unstable interpret with caution
95246,0,,,Not applicable
95247,9.247,0.234,367.425,Rate is unstable interpret with caution
95249,66.723,21.216,231.651,Rate may be unstable
95251,0,,,Not applicable
95252,25.778,3.094,95.635,Rate is unstable interpret with caution
95255,12.25,0.31,1291.246,Rate is unstable interpret with caution
95257,0,,,Not applicable
Calaveras,19.593,9.155,41.582,Rate may be unstable
California,9.945,9.64,10.255,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
