Contra Costa Hospitalizations - by Zip Code 2010,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94505,22.743,3.718,101.841,Rate is unstable interpret with caution
94506,5.972,0.151,55.114,Rate is unstable interpret with caution
94507,0,,,Not applicable
94509,16.378,8.447,30.303,Rate is stable
94513,18.288,8.274,35.851,Rate may be unstable
94514,139.926,16.194,826.856,Rate is unstable interpret with caution
94517,35.055,7.785,113.217,Rate is unstable interpret with caution
94518,16.296,5.078,41.73,Rate may be unstable
94519,49.747,23.519,96.086,Rate may be unstable
94520,44.304,23.876,79.132,Rate is stable
94521,16.853,6.54,36.383,Rate may be unstable
94523,7.407,1.479,25.772,Rate is unstable interpret with caution
94525,42.665,5.167,291.943,Rate is unstable interpret with caution
94526,10.162,2.095,42.224,Rate is unstable interpret with caution
94528,0,,,Not applicable
94530,9.342,1.742,41.981,Rate is unstable interpret with caution
94531,10.89,3.498,37.362,Rate may be unstable
94547,4.308,0.109,33.3,Rate is unstable interpret with caution
94548,0,,,Not applicable
94549,9.612,0.658,44.784,Rate is unstable interpret with caution
94551,0,,,Not applicable
94553,28.032,14.803,49.402,Rate is stable
94556,5.402,0.137,90.897,Rate is unstable interpret with caution
94561,25.974,11.77,56.957,Rate may be unstable
94563,4.62,0.117,84.786,Rate is unstable interpret with caution
94564,4.002,0.101,34.074,Rate is unstable interpret with caution
94565,25.76,15.521,41.738,Rate is stable
94569,0,,,Not applicable
94572,39.744,7.961,124.063,Rate is unstable interpret with caution
94582,0,,,Not applicable
94583,7.526,1.483,30.249,Rate is unstable interpret with caution
94595,3.912,0.398,91.246,Rate is unstable interpret with caution
94596,17.44,4.656,53.263,Rate is unstable interpret with caution
94597,26.777,7.859,71.686,Rate may be unstable
94598,11.439,3.648,41.192,Rate may be unstable
94707,0,,,Not applicable
94708,7.071,0.179,83.903,Rate is unstable interpret with caution
94801,13.996,3.789,44.875,Rate is unstable interpret with caution
94803,8.746,1.057,34.175,Rate is unstable interpret with caution
94804,19.833,8.503,42.034,Rate may be unstable
94805,16.167,3.302,63.536,Rate is unstable interpret with caution
94806,10.909,3.953,25.206,Rate may be unstable
California,12.692,12.335,13.058,Rate is stable
Contra Costa,15.693,13.443,18.25,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
