El Dorado Hospitalizations - by Zip Code 2011,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95614,0,,,Not applicable
95619,82.425,19.866,252.343,Rate is unstable interpret with caution
95623,23.971,0.607,309.564,Rate is unstable interpret with caution
95629,0,,,Not applicable
95633,19.63,0.497,332.874,Rate is unstable interpret with caution
95634,111.015,9.938,678.63,Rate is unstable interpret with caution
95635,152.043,3.849,1442.857,Rate is unstable interpret with caution
95636,0,,,Not applicable
95651,115.754,2.931,16256.838,Rate is unstable interpret with caution
95664,0,,,Not applicable
95667,10.921,2.688,35.733,Rate is unstable interpret with caution
95672,24.8,2.816,231.477,Rate is unstable interpret with caution
95682,14.285,3.4,44.828,Rate is unstable interpret with caution
95684,54.921,10.695,1781.313,Rate is unstable interpret with caution
95709,0,,,Not applicable
95720,0,,,Not applicable
95721,0,,,Not applicable
95726,33.901,7.396,139.075,Rate is unstable interpret with caution
95735,0,,,Not applicable
95762,2.785,0.071,28.535,Rate is unstable interpret with caution
96142,0,,,Not applicable
96150,5.317,0.644,31.37,Rate is unstable interpret with caution
California,12.762,12.405,13.127,Rate is stable
El Dorado,15.508,10.558,22.573,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
