El Dorado Hospitalizations - by Zip Code 2012,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95614,24.299,2.943,361.783,Rate is unstable interpret with caution
95619,0,,,Not applicable
95623,90.076,26.863,329.46,Rate may be unstable
95629,0,,,Not applicable
95633,0,,,Not applicable
95634,84.334,11.056,416.477,Rate is unstable interpret with caution
95635,0,,,Not applicable
95636,0,,,Not applicable
95651,0,,,Not applicable
95664,0,,,Not applicable
95667,16.823,6.879,41.969,Rate may be unstable
95672,0,,,Not applicable
95682,10.671,2.681,36.51,Rate is unstable interpret with caution
95684,0,,,Not applicable
95709,0,,,Not applicable
95720,0,,,Not applicable
95721,0,,,Not applicable
95726,15.785,1.769,146.939,Rate is unstable interpret with caution
95735,0,,,Not applicable
95762,15.069,4.235,42.922,Rate may be unstable
96142,0,,,Not applicable
96150,5.267,0.567,38.132,Rate is unstable interpret with caution
California,12.32,11.975,12.675,Rate is stable
El Dorado,13.58,9.04,20.27,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
