Fresno Hospitalizations - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93210,8.226,0.994,67.086,Rate is unstable interpret with caution
93234,0,,,Not applicable
93242,0,,,Not applicable
93602,43.464,1.1,271.168,Rate is unstable interpret with caution
93603,0,,,Not applicable
93608,0,,,Not applicable
93609,0,,,Not applicable
93611,10.35,3.332,25.754,Rate may be unstable
93612,12.276,3.805,33.375,Rate may be unstable
93616,0,,,Not applicable
93618,8.278,0.97,35.833,Rate is unstable interpret with caution
93619,3.667,0.093,22.815,Rate is unstable interpret with caution
93620,0,,,Not applicable
93621,0,,,Not applicable
93622,0,,,Not applicable
93625,0,,,Not applicable
93626,0,,,Not applicable
93627,0,,,Not applicable
93628,0,,,Not applicable
93630,8.317,0.211,49.264,Rate is unstable interpret with caution
93631,22.912,4.638,70.433,Rate is unstable interpret with caution
93633,0,,,Not applicable
93640,0,,,Not applicable
93641,0,,,Not applicable
93646,0,,,Not applicable
93648,7.712,0.195,77.493,Rate is unstable interpret with caution
93650,61.985,1.569,345.356,Rate is unstable interpret with caution
93651,0,,,Not applicable
93652,0,,,Not applicable
93654,6.52,0.786,26.791,Rate is unstable interpret with caution
93656,0,,,Not applicable
93657,10.517,2.853,32.173,Rate is unstable interpret with caution
93660,0,,,Not applicable
93662,5.024,0.127,27.993,Rate is unstable interpret with caution
93664,0,,,Not applicable
93667,0,,,Not applicable
93668,0,,,Not applicable
93675,0,,,Not applicable
93701,17.161,0.434,178.94,Rate is unstable interpret with caution
93702,31.182,14.12,62.965,Rate may be unstable
93703,19.019,5.75,49.64,Rate may be unstable
93704,5.399,0.653,30.384,Rate is unstable interpret with caution
93705,15.78,5.614,39.113,Rate may be unstable
93706,12.493,4.046,33.529,Rate may be unstable
93710,17.912,5.623,49.238,Rate may be unstable
93711,5.335,0.97,22.782,Rate is unstable interpret with caution
93720,4.398,0.533,19.144,Rate is unstable interpret with caution
93721,33.251,3.879,215.313,Rate is unstable interpret with caution
93722,14.741,7.238,28.854,Rate may be unstable
93723,0,,,Not applicable
93725,5.325,0.135,34.388,Rate is unstable interpret with caution
93726,22.124,10.082,46.427,Rate may be unstable
93727,11.172,4.749,23.305,Rate may be unstable
93728,21.818,4.082,99.47,Rate is unstable interpret with caution
93730,0,,,Not applicable
California,9.945,9.64,10.255,Rate is stable
Fresno,10.492,8.523,12.825,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
