Glenn Hospitalizations - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95920,0,,,Not applicable
95939,0,,,Not applicable
95943,0,,,Not applicable
95951,0,,,Not applicable
95963,14.108,2.905,67.872,Rate is unstable interpret with caution
95970,0,,,Not applicable
95988,49.274,12.404,141.695,Rate is unstable interpret with caution
California,10.9,10.585,11.222,Rate is stable
Glenn,21.42,13.407,58.407,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
