Imperial Hospitalizations - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
92227,3.741,0.095,31.493,Rate is unstable interpret with caution
92231,1.875,0.047,17.251,Rate is unstable interpret with caution
92233,0,,,Not applicable
92243,7.085,1.848,21.416,Rate is unstable interpret with caution
92249,0,,,Not applicable
92250,0,,,Not applicable
92251,12.45,2.563,57.016,Rate is unstable interpret with caution
92257,0,,,Not applicable
92259,0,,,Not applicable
92274,7.818,0.198,54.632,Rate is unstable interpret with caution
92281,0,,,Not applicable
92283,0,,,Not applicable
California,12.302,11.963,12.652,Rate is stable
Imperial,4.895,2.442,9.47,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
