Inyo Hospitalizations - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
92328,0,,,Not applicable
92384,0,,,Not applicable
92389,0,,,Not applicable
93513,39.699,1.005,810.657,Rate is unstable interpret with caution
93514,10.226,0.259,69.48,Rate is unstable interpret with caution
93526,0,,,Not applicable
93527,146.914,3.72,1811.671,Rate is unstable interpret with caution
93545,0,,,Not applicable
93555,9.026,1.589,30.989,Rate is unstable interpret with caution
California,12.302,11.963,12.652,Rate is stable
Inyo,10.268,15.5,94.89,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
