Lake Hospitalizations - by Zip Code 2011,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95422,26.696,9.667,85.857,Rate may be unstable
95423,151.03,68.215,902.362,Rate may be unstable
95443,0,,,Not applicable
95451,16.504,1.305,76.872,Rate is unstable interpret with caution
95453,42.745,9.682,133.61,Rate is unstable interpret with caution
95457,86.606,17.786,398.951,Rate is unstable interpret with caution
95458,215.465,44.004,827.615,Rate is unstable interpret with caution
95461,23.039,0.583,439.679,Rate is unstable interpret with caution
95464,259.3,99.876,1725.692,Rate may be unstable
95467,14.81,0.375,141.439,Rate is unstable interpret with caution
95469,40.813,1.033,491.64,Rate is unstable interpret with caution
95485,0,,,Not applicable
95493,0,,,Not applicable
California,12.762,12.405,13.127,Rate is stable
Lake,45.275,31.675,65.065,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
