Lake Hospitalizations - by Zip Code 2017,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95422,21.581,4.077,75.821,Rate is unstable interpret with caution
95423,40.584,1.027,527.646,Rate is unstable interpret with caution
95443,0,,,Not applicable
95451,4.847,0.123,63.16,Rate is unstable interpret with caution
95453,47.304,11.977,151.016,Rate is unstable interpret with caution
95457,0,,,Not applicable
95458,15.154,0.384,522.562,Rate is unstable interpret with caution
95461,0,,,Not applicable
95464,26.979,0.683,511.916,Rate is unstable interpret with caution
95467,26.239,0.664,166.555,Rate is unstable interpret with caution
95469,0,,,Not applicable
95485,35.549,4.064,952.542,Rate is unstable interpret with caution
95493,0,,,Not applicable
California,9.002,8.717,9.295,Rate is stable
Lake,18.003,9.582,33.087,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
