Los Angeles Hospitalizations - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90001,23.274,11.897,44.338,Rate is stable
90002,5.09,0.583,20.028,Rate is unstable interpret with caution
90003,19.8,9.958,36.583,Rate is stable
90004,7.962,2.393,21.903,Rate may be unstable
90005,12.407,4.285,33.196,Rate may be unstable
90006,1.703,0.043,13.186,Rate is unstable interpret with caution
90007,10.161,1.231,38.477,Rate is unstable interpret with caution
90008,9.411,2.616,31.807,Rate may be unstable
90010,0,,,Not applicable
90011,17.944,10.378,32.011,Rate is stable
90012,96.556,65.868,150.116,Rate is stable
90013,264.522,105.554,718.515,Rate may be unstable
90014,55.988,19.399,252.052,Rate may be unstable
90015,29.07,9.485,75.484,Rate may be unstable
90016,12.368,4.895,29.042,Rate may be unstable
90017,50.956,25.418,93.457,Rate may be unstable
90018,4.324,0.469,18.08,Rate is unstable interpret with caution
90019,8.083,2.348,22.021,Rate may be unstable
90020,6.67,0.777,29.496,Rate is unstable interpret with caution
90021,27.475,0.696,784.877,Rate is unstable interpret with caution
90022,1.751,0.044,11.912,Rate is unstable interpret with caution
90023,18.241,7.986,38.237,Rate may be unstable
90024,24.623,8.696,72.063,Rate may be unstable
90025,4.839,0.538,31.74,Rate is unstable interpret with caution
90026,14.501,6.099,31.358,Rate may be unstable
90027,11.942,4.211,41.858,Rate may be unstable
90028,41.271,18.601,112.714,Rate may be unstable
90029,13.464,4.057,38.849,Rate may be unstable
90031,10.059,2.61,28.673,Rate is unstable interpret with caution
90032,13.271,4.668,31.008,Rate may be unstable
90033,10.95,3.226,29.492,Rate may be unstable
90034,5.269,0.932,21.71,Rate is unstable interpret with caution
90035,9.288,1.915,38.75,Rate is unstable interpret with caution
90036,9.775,3.087,33.668,Rate may be unstable
90037,9.819,3.88,23.194,Rate may be unstable
90038,12.584,3.69,44.944,Rate may be unstable
90039,6.143,0.686,41.426,Rate is unstable interpret with caution
90040,0,,,Not applicable
90041,13.046,3.372,41.37,Rate is unstable interpret with caution
90042,11.063,4.19,25.69,Rate may be unstable
