Madera Hospitalizations - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93601,0,,,Not applicable
93604,0,,,Not applicable
93610,3.36,0.085,43.435,Rate is unstable interpret with caution
93614,13.909,3.537,82.713,Rate is unstable interpret with caution
93622,0,,,Not applicable
93626,0,,,Not applicable
93636,0,,,Not applicable
93637,5.78,0.7,22.583,Rate is unstable interpret with caution
93638,2.167,0.055,16.408,Rate is unstable interpret with caution
93643,0,,,Not applicable
93644,65.594,9.938,244.12,Rate is unstable interpret with caution
93645,0,,,Not applicable
93653,0,,,Not applicable
93669,0,,,Not applicable
93720,6.384,1.208,20.914,Rate is unstable interpret with caution
California,12.302,11.963,12.652,Rate is stable
Madera,6.918,3.575,12.617,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
