Mendocino Hospitalizations - by Zip Code 2011,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95410,0,,,Not applicable
95415,0,,,Not applicable
95417,0,,,Not applicable
95420,0,,,Not applicable
95427,0,,,Not applicable
95428,0,,,Not applicable
95429,0,,,Not applicable
95432,0,,,Not applicable
95437,6.279,0.159,51.406,Rate is unstable interpret with caution
95445,0,,,Not applicable
95449,0,,,Not applicable
95454,21.094,0.534,956.076,Rate is unstable interpret with caution
95456,131.724,3.335,5007.666,Rate is unstable interpret with caution
95459,371.726,9.411,3181.198,Rate is unstable interpret with caution
95460,0,,,Not applicable
95466,0,,,Not applicable
95468,0,,,Not applicable
95469,40.813,1.033,491.64,Rate is unstable interpret with caution
95470,24.327,0.616,205.227,Rate is unstable interpret with caution
95482,44.315,24.373,76.423,Rate is stable
95488,0,,,Not applicable
95490,56.809,22.882,130.13,Rate may be unstable
95494,0,,,Not applicable
95585,0,,,Not applicable
95587,0,,,Not applicable
95589,61.917,1.568,2312.385,Rate is unstable interpret with caution
California,12.762,12.405,13.127,Rate is stable
Mendocino,32.47,21.855,47.258,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
