Merced Hospitalizations - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93610,21.884,5.374,64.648,Rate is unstable interpret with caution
93620,0,,,Not applicable
93622,0,,,Not applicable
93635,8.553,2.328,26.689,Rate is unstable interpret with caution
95301,7.703,1.588,24.967,Rate is unstable interpret with caution
95303,0,,,Not applicable
95315,0,,,Not applicable
95316,34.824,4.156,139.022,Rate is unstable interpret with caution
95317,0,,,Not applicable
95322,0,,,Not applicable
95324,13.404,0.339,94.178,Rate is unstable interpret with caution
95333,0,,,Not applicable
95334,5.469,0.138,47.967,Rate is unstable interpret with caution
95340,23.007,10.241,47.868,Rate may be unstable
95341,9.861,1.805,42.533,Rate is unstable interpret with caution
95348,7.827,1.498,29.998,Rate is unstable interpret with caution
95360,8.926,0.226,188.49,Rate is unstable interpret with caution
95365,0,,,Not applicable
95369,0,,,Not applicable
95374,0,,,Not applicable
95380,14.389,4.968,34.786,Rate may be unstable
95388,7.103,0.18,59.136,Rate is unstable interpret with caution
California,8.385,8.11,8.665,Rate is stable
Merced,8.815,5.79,13.205,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
