Monterey Hospitalizations - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93426,0,,,Not applicable
93450,0,,,Not applicable
93451,0,,,Not applicable
93901,14.681,3.377,44.31,Rate is unstable interpret with caution
93905,11.764,3.872,37.226,Rate may be unstable
93906,11.254,4.002,26.636,Rate may be unstable
93907,0,,,Not applicable
93908,14.559,1.249,85.635,Rate is unstable interpret with caution
93920,0,,,Not applicable
93923,27.103,1.611,189.452,Rate is unstable interpret with caution
93924,4.416,0.112,213.2,Rate is unstable interpret with caution
93925,0,,,Not applicable
93926,33.059,3.967,212.455,Rate is unstable interpret with caution
93927,0,,,Not applicable
93930,8.54,0.216,94.944,Rate is unstable interpret with caution
93932,0,,,Not applicable
93933,13.319,3.596,41.136,Rate is unstable interpret with caution
93940,9.652,3.047,34.363,Rate may be unstable
93943,0,,,Not applicable
93944,0,,,Not applicable
93950,19.531,4.573,69.396,Rate is unstable interpret with caution
93953,18.446,1.869,266.452,Rate is unstable interpret with caution
93955,2.802,0.071,22.108,Rate is unstable interpret with caution
93960,2.893,0.073,64.508,Rate is unstable interpret with caution
95004,0,,,Not applicable
95012,11.539,0.292,144.64,Rate is unstable interpret with caution
95039,0,,,Not applicable
95076,4.146,1.115,12.744,Rate is unstable interpret with caution
California,10.9,10.585,11.222,Rate is stable
Monterey,10.227,7.445,13.852,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
