Orange Hospitalizations - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90620,1.515,0.038,12.536,Rate is unstable interpret with caution
90621,4.949,0.592,27.876,Rate is unstable interpret with caution
90623,0,,,Not applicable
90630,4.384,0.53,18.917,Rate is unstable interpret with caution
90631,11.923,5.309,24.178,Rate may be unstable
90680,13.312,3.448,40.632,Rate is unstable interpret with caution
90716,0,,,Not applicable
90720,10.713,1.993,40.767,Rate is unstable interpret with caution
90740,9.943,0.662,55.255,Rate is unstable interpret with caution
90742,0,,,Not applicable
90743,93.844,2.376,3793.675,Rate is unstable interpret with caution
92530,27.637,13.921,56.77,Rate is stable
92602,0,,,Not applicable
92603,12.654,0.32,70.503,Rate is unstable interpret with caution
92604,12.916,3.405,38.472,Rate is unstable interpret with caution
92606,10.811,1.196,61.401,Rate is unstable interpret with caution
92610,43.361,8.383,231.54,Rate is unstable interpret with caution
92612,6.358,1.086,39.62,Rate is unstable interpret with caution
92614,3.755,0.095,33.126,Rate is unstable interpret with caution
92617,0,,,Not applicable
92618,14.926,4.554,54.998,Rate may be unstable
92620,11.849,3.597,30.915,Rate may be unstable
92624,35.051,7.057,223.87,Rate is unstable interpret with caution
92625,10.41,0.264,90.051,Rate is unstable interpret with caution
92626,15.824,7.801,31.47,Rate may be unstable
92627,10.924,4.381,26.446,Rate may be unstable
92629,21.494,6.23,57.089,Rate may be unstable
92630,7.681,2.765,18.599,Rate may be unstable
92637,5.213,1.166,1607.624,Rate is unstable interpret with caution
92646,20.913,11.123,38.021,Rate is stable
92647,8.665,3.162,20.108,Rate may be unstable
92648,18.142,8.09,38.607,Rate may be unstable
92649,16.005,5.004,41.195,Rate may be unstable
92651,13.986,2.053,54.167,Rate is unstable interpret with caution
92653,8.52,1.355,32.977,Rate is unstable interpret with caution
92655,8.724,0.221,107.74,Rate is unstable interpret with caution
92656,17.21,7.519,41.731,Rate may be unstable
92657,0,,,Not applicable
92660,11.28,3.535,31.195,Rate may be unstable
92661,0,,,Not applicable
92662,0,,,Not applicable
92663,0,,,Not applicable
92672,2.295,0.058,19.224,Rate is unstable interpret with caution
92673,4.44,0.112,32.596,Rate is unstable interpret with caution
92675,18.962,7.329,44.468,Rate may be unstable
92676,0,,,Not applicable
92677,9.697,3.321,23.333,Rate may be unstable
92679,11.386,2.631,40.362,Rate is unstable interpret with caution
92683,7.892,3.575,16.728,Rate may be unstable
92688,9.939,3.122,32.075,Rate may be unstable
92691,8.47,3.054,22.107,Rate may be unstable
92692,14.726,5.13,34.618,Rate may be unstable
92694,0,,,Not applicable
92697,0,,,Not applicable
92701,2.494,0.063,22.618,Rate is unstable interpret with caution
92703,5.449,1.09,17.649,Rate is unstable interpret with caution
92704,4.867,1.28,14.78,Rate is unstable interpret with caution
92705,11.526,4.065,28.136,Rate may be unstable
92706,2.034,0.051,22.267,Rate is unstable interpret with caution
92707,2.661,0.3,17.688,Rate is unstable interpret with caution
92708,22.838,12.035,40.831,Rate is stable
92780,8.339,2.689,20.636,Rate may be unstable
92782,3.561,0.09,74.006,Rate is unstable interpret with caution
92801,18.563,9.078,35.047,Rate may be unstable
92802,5.392,0.653,21.1,Rate is unstable interpret with caution
92804,20.465,11.801,33.666,Rate is stable
92805,5.654,1.54,21.686,Rate is unstable interpret with caution
92806,6.572,1.355,23.028,Rate is unstable interpret with caution
92807,4.856,0.554,25.186,Rate is unstable interpret with caution
92808,2.349,0.059,39.662,Rate is unstable interpret with caution
92821,6.289,1.252,22.352,Rate is unstable interpret with caution
92823,48.333,1.224,306.565,Rate is unstable interpret with caution
92831,5.386,0.594,24.112,Rate is unstable interpret with caution
92832,19.119,5.154,51.296,Rate is unstable interpret with caution
92833,4.867,1.004,16.57,Rate is unstable interpret with caution
92835,20.856,5.863,58.47,Rate may be unstable
92840,15.529,6.977,31.427,Rate may be unstable
92841,11.475,3.699,31.583,Rate may be unstable
92843,2.467,0.062,14.637,Rate is unstable interpret with caution
92844,3.228,0.082,26.252,Rate is unstable interpret with caution
92845,12.21,2.483,47.065,Rate is unstable interpret with caution
92861,0,,,Not applicable
92862,0,,,Not applicable
92865,4.847,0.123,35.608,Rate is unstable interpret with caution
92866,6.524,0.165,55.266,Rate is unstable interpret with caution
92867,12.03,3.732,29.666,Rate may be unstable
92868,5.804,0.623,33.402,Rate is unstable interpret with caution
92869,8.456,2.248,25.225,Rate is unstable interpret with caution
92870,10.251,3.694,23.824,Rate may be unstable
92886,10.87,3.451,27.686,Rate may be unstable
92887,10.198,1.069,50.066,Rate is unstable interpret with caution
California,9.945,9.64,10.255,Rate is stable
Orange,9.43,8.425,10.54,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
