Orange Hospitalizations - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90620,9.959,3.001,26,Rate may be unstable
90621,7.702,1.574,25.428,Rate is unstable interpret with caution
90623,9.677,0.245,60.284,Rate is unstable interpret with caution
90630,6.724,1.821,20.692,Rate is unstable interpret with caution
90631,3.82,0.694,12.924,Rate is unstable interpret with caution
90680,5.978,0.651,25.47,Rate is unstable interpret with caution
90716,18.215,2.206,82.038,Rate is unstable interpret with caution
90720,2.575,0.065,32.16,Rate is unstable interpret with caution
90740,12.765,2.577,62.341,Rate is unstable interpret with caution
90742,50.387,1.276,3421.43,Rate is unstable interpret with caution
90743,0,,,Not applicable
92530,17.823,8.716,34.905,Rate may be unstable
92602,2.85,0.072,45.932,Rate is unstable interpret with caution
92603,4.04,0.102,41.293,Rate is unstable interpret with caution
92604,2.122,0.054,21.257,Rate is unstable interpret with caution
92606,8.205,0.992,35.015,Rate is unstable interpret with caution
92610,0,,,Not applicable
92612,13.353,2.366,53.511,Rate is unstable interpret with caution
92614,3.727,0.094,43.26,Rate is unstable interpret with caution
92617,0,,,Not applicable
92618,7.551,1.848,29.743,Rate is unstable interpret with caution
92620,7.451,1.95,23.728,Rate is unstable interpret with caution
92624,0,,,Not applicable
92625,28.745,5.086,130.776,Rate is unstable interpret with caution
92626,17.569,8.674,34.329,Rate may be unstable
92627,13.035,5.834,27.379,Rate may be unstable
92629,17.856,3.666,58.513,Rate is unstable interpret with caution
92630,5.534,1.141,17.48,Rate is unstable interpret with caution
92637,1.751,0.207,9591.62,Rate is unstable interpret with caution
92646,28.747,15.791,49.482,Rate is stable
92647,6.14,1.636,16.996,Rate is unstable interpret with caution
92648,22.603,11.85,42.829,Rate is stable
92649,16.655,6.73,39.4,Rate may be unstable
92651,3.816,0.462,35.143,Rate is unstable interpret with caution
92653,8.164,0.979,30.932,Rate is unstable interpret with caution
92655,0,,,Not applicable
92656,9.098,2.928,24.053,Rate may be unstable
92657,6.851,0.173,105.609,Rate is unstable interpret with caution
92660,20.348,6.803,48.225,Rate may be unstable
92661,0,,,Not applicable
92662,0,,,Not applicable
92663,19.613,6.004,68.748,Rate may be unstable
92672,52.755,31.499,85.722,Rate is stable
92673,9.88,1.055,40.639,Rate is unstable interpret with caution
92675,6.276,1.109,22.841,Rate is unstable interpret with caution
92676,0,,,Not applicable
92677,4.828,0.957,15.67,Rate is unstable interpret with caution
92679,4.977,0.126,33.186,Rate is unstable interpret with caution
92683,6.922,2.419,16.341,Rate may be unstable
92688,7.376,1.378,27.662,Rate is unstable interpret with caution
92691,6.345,1.25,21.448,Rate is unstable interpret with caution
92692,14.604,5.564,33.844,Rate may be unstable
92694,12.949,2.45,61.893,Rate is unstable interpret with caution
92701,18.553,8.763,38.217,Rate may be unstable
92703,16.294,8.175,30.696,Rate is stable
92704,4.832,1.314,13.518,Rate is unstable interpret with caution
92705,4.395,0.532,17.119,Rate is unstable interpret with caution
92706,3.659,0.093,20.736,Rate is unstable interpret with caution
92707,10.502,3.228,27.473,Rate may be unstable
92708,13.767,5.607,29.581,Rate may be unstable
92780,12.637,5.727,26.156,Rate may be unstable
92782,0,,,Not applicable
92801,20.981,11.638,35.923,Rate is stable
92802,10.332,3.259,26.072,Rate may be unstable
92804,30.035,20.298,43.42,Rate is stable
92805,13.947,7.09,32.206,Rate is stable
92806,3.323,0.402,18.32,Rate is unstable interpret with caution
92807,7.695,1.406,27.477,Rate is unstable interpret with caution
92808,12.269,1.292,55.567,Rate is unstable interpret with caution
92821,0,,,Not applicable
92823,0,,,Not applicable
92831,13.111,3.448,36.441,Rate is unstable interpret with caution
92832,13.526,3.554,42.078,Rate is unstable interpret with caution
92833,7.495,2.261,20.491,Rate may be unstable
92835,17.506,4.506,53.153,Rate is unstable interpret with caution
92840,7.66,2.447,20.318,Rate may be unstable
92841,0,,,Not applicable
92843,7.396,1.929,21.78,Rate is unstable interpret with caution
92844,8.547,1.018,37.555,Rate is unstable interpret with caution
92845,16.808,4.523,56.486,Rate is unstable interpret with caution
92861,0,,,Not applicable
92865,5.434,0.138,37.187,Rate is unstable interpret with caution
92866,14.389,1.649,59.084,Rate is unstable interpret with caution
92867,10.852,3.524,27.095,Rate may be unstable
92868,15.104,5.31,42.035,Rate may be unstable
92869,17.712,6.967,38.979,Rate may be unstable
92870,7.07,1.857,19.572,Rate is unstable interpret with caution
92886,10.382,3.309,27.486,Rate may be unstable
92887,12.538,1.424,48.864,Rate is unstable interpret with caution
California,12.302,11.963,12.652,Rate is stable
Orange,9.302,8.287,10.425,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
