San Benito Hospitalizations - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93925,0,,,Not applicable
93930,20.867,2.431,114.065,Rate is unstable interpret with caution
95004,34.39,0.871,480.613,Rate is unstable interpret with caution
95023,5.759,1.183,19.091,Rate is unstable interpret with caution
95043,0,,,Not applicable
95045,0,,,Not applicable
California,11.955,11.617,12.3,Rate is stable
San Benito,5.322,1.933,20.69,Rate is unstable interpret with caution
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
