San Bernardino Hospitalizations - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91701,1.398,0.035,17.183,Rate is unstable interpret with caution
91708,18.936,0.479,394.164,Rate is unstable interpret with caution
91709,4.537,1.216,12.74,Rate is unstable interpret with caution
91710,2.818,0.573,9.948,Rate is unstable interpret with caution
91730,15.609,7.634,29.686,Rate may be unstable
91737,7.668,0.926,37.018,Rate is unstable interpret with caution
91739,18.467,6.466,53.095,Rate may be unstable
91759,0,,,Not applicable
91761,4.468,0.919,17.535,Rate is unstable interpret with caution
91762,5.888,1.539,16.686,Rate is unstable interpret with caution
91763,11.1,3.46,29.512,Rate may be unstable
91764,12.161,4.639,28.31,Rate may be unstable
91765,1.741,0.044,14.092,Rate is unstable interpret with caution
91784,11.487,1.93,43.59,Rate is unstable interpret with caution
91786,13.952,6.231,29.447,Rate may be unstable
92242,0,,,Not applicable
92252,8.397,0.213,75.046,Rate is unstable interpret with caution
92256,0,,,Not applicable
92267,0,,,Not applicable
92277,24.557,2.961,98.543,Rate is unstable interpret with caution
92278,0,,,Not applicable
92280,0,,,Not applicable
92284,10.866,1.787,41.647,Rate is unstable interpret with caution
92285,0,,,Not applicable
92301,27.881,11.445,76.718,Rate may be unstable
92304,0,,,Not applicable
92305,0,,,Not applicable
92307,18.048,7.793,38.466,Rate may be unstable
92308,20.219,8.63,42.92,Rate may be unstable
92309,0,,,Not applicable
92310,0,,,Not applicable
92311,17.279,5.859,46.272,Rate may be unstable
92313,12.989,0.329,72.372,Rate is unstable interpret with caution
92314,0,,,Not applicable
92315,8.13,0.206,164.196,Rate is unstable interpret with caution
92316,7.476,1.534,29.296,Rate is unstable interpret with caution
92317,0,,,Not applicable
92321,0,,,Not applicable
92322,0,,,Not applicable
92324,7.465,1.981,20.978,Rate is unstable interpret with caution
92325,28.283,1.636,257.939,Rate is unstable interpret with caution
92327,56.961,1.442,2738.973,Rate is unstable interpret with caution
92332,0,,,Not applicable
92335,6.906,2.701,15.427,Rate may be unstable
92336,6.454,2.352,20.024,Rate may be unstable
92337,2.458,0.062,42.982,Rate is unstable interpret with caution
92338,0,,,Not applicable
92339,209.956,57.206,826.038,Rate is unstable interpret with caution
92342,26.141,5.285,178.496,Rate is unstable interpret with caution
92344,2.524,0.064,40.182,Rate is unstable interpret with caution
92345,17.849,9.853,30.738,Rate is stable
92346,12.401,5.284,25.368,Rate may be unstable
92347,0,,,Not applicable
92350,0,,,Not applicable
92352,0,,,Not applicable
92354,8.32,1.001,41.001,Rate is unstable interpret with caution
92356,7.244,0.183,130.268,Rate is unstable interpret with caution
92358,0,,,Not applicable
92359,9.083,0.23,110.156,Rate is unstable interpret with caution
92363,0,,,Not applicable
92364,0,,,Not applicable
92365,0,,,Not applicable
92368,0,,,Not applicable
92371,6.345,0.161,191.022,Rate is unstable interpret with caution
92372,21.757,0.551,193.127,Rate is unstable interpret with caution
92373,9.577,1.82,33.149,Rate is unstable interpret with caution
92374,8.255,2.227,25.076,Rate is unstable interpret with caution
92376,9.34,3.873,19.475,Rate may be unstable
92377,13.115,2.683,48.932,Rate is unstable interpret with caution
92382,0,,,Not applicable
92385,0,,,Not applicable
92392,14.039,5.344,30.846,Rate may be unstable
92394,15.068,5.358,39.14,Rate may be unstable
92395,13.177,4.62,31.853,Rate may be unstable
92397,18.123,0.459,328.759,Rate is unstable interpret with caution
92399,13.502,5.144,30.157,Rate may be unstable
92401,0,,,Not applicable
92404,23.292,13.143,40.234,Rate is stable
92405,36.625,18.164,89.988,Rate may be unstable
92407,18.888,8.658,43.507,Rate may be unstable
92408,7.621,0.193,97.944,Rate is unstable interpret with caution
92410,17.246,6.711,38.42,Rate may be unstable
92411,9.075,1.083,37.137,Rate is unstable interpret with caution
93528,265.537,6.723,1593.863,Rate is unstable interpret with caution
93555,18.123,6.47,41.817,Rate may be unstable
93562,26.542,0.672,567.332,Rate is unstable interpret with caution
California,12.843,12.495,13.2,Rate is stable
San Bernardino,10.232,8.955,11.662,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
