San Diego Hospitalizations - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91901,7.272,0.184,42.079,Rate is unstable interpret with caution
91902,3.017,0.076,55.35,Rate is unstable interpret with caution
91905,35.227,0.892,2947.45,Rate is unstable interpret with caution
91906,0,,,Not applicable
91910,7.1,2.267,17.825,Rate may be unstable
91911,31.258,20.27,46.7,Rate is stable
91913,14.742,5.875,31.614,Rate may be unstable
91914,0,,,Not applicable
91915,5.908,0.71,35.736,Rate is unstable interpret with caution
91916,0,,,Not applicable
91917,0,,,Not applicable
91932,0,,,Not applicable
91934,0,,,Not applicable
91935,3.988,0.101,109.911,Rate is unstable interpret with caution
91941,12.703,3.2,36.289,Rate is unstable interpret with caution
91942,34.575,18.012,62.443,Rate is stable
91945,29.929,11.563,64.642,Rate may be unstable
91950,21.932,11.349,40.027,Rate is stable
91962,0,,,Not applicable
91963,0,,,Not applicable
91977,15.882,7.416,30.571,Rate may be unstable
91978,6.944,0.176,65.16,Rate is unstable interpret with caution
91980,0,,,Not applicable
92003,0,,,Not applicable
92004,0,,,Not applicable
92007,0,,,Not applicable
92008,9.929,1.791,42.499,Rate is unstable interpret with caution
92009,4.788,0.391,24.345,Rate is unstable interpret with caution
92010,8.911,1.019,48.945,Rate is unstable interpret with caution
92011,11.96,2.318,45.759,Rate is unstable interpret with caution
92014,0,,,Not applicable
92019,8.363,1.993,25.524,Rate is unstable interpret with caution
92020,27.384,14.659,47.495,Rate is stable
92021,22.485,12.137,39.625,Rate is stable
92024,4.101,0.625,19.349,Rate is unstable interpret with caution
92025,37.113,22.012,59.696,Rate is stable
92026,16.537,6.507,35.406,Rate may be unstable
92027,28.586,16.45,48.22,Rate is stable
92028,9.972,3.335,26.312,Rate may be unstable
92029,7.224,0.183,45.719,Rate is unstable interpret with caution
92036,0,,,Not applicable
92037,3.785,1.229,23.191,Rate may be unstable
92040,1.304,0.033,16.041,Rate is unstable interpret with caution
92054,13.266,4.129,35.323,Rate may be unstable
92055,0,,,Not applicable
92056,25.902,11.174,51.911,Rate may be unstable
92057,2.217,0.262,12.27,Rate is unstable interpret with caution
92058,5.371,0.612,32.068,Rate is unstable interpret with caution
92059,0,,,Not applicable
92061,56.803,1.438,1614.227,Rate is unstable interpret with caution
92064,3.89,0.357,18.846,Rate is unstable interpret with caution
92065,1.654,0.042,18.243,Rate is unstable interpret with caution
92066,0,,,Not applicable
92067,10.389,0.263,124.715,Rate is unstable interpret with caution
92069,6.231,1.231,21.378,Rate is unstable interpret with caution
92070,0,,,Not applicable
92071,4.423,0.885,15.259,Rate is unstable interpret with caution
92075,10.688,0.271,86.731,Rate is unstable interpret with caution
92078,8.283,1.954,24.482,Rate is unstable interpret with caution
92081,8.454,1.645,29.955,Rate is unstable interpret with caution
92082,27.649,8.235,70.607,Rate may be unstable
92083,12.347,2.995,36.616,Rate is unstable interpret with caution
92084,4.05,0.459,17.322,Rate is unstable interpret with caution
92086,0,,,Not applicable
92091,0,,,Not applicable
92096,0,,,Not applicable
92101,96.912,67.166,167.88,Rate is stable
92102,14.4,4.975,35.523,Rate may be unstable
92103,3.14,0.38,43.009,Rate is unstable interpret with caution
92104,5.353,0.918,25.854,Rate is unstable interpret with caution
92105,9.826,3.853,21.348,Rate may be unstable
92106,5.64,0.143,40.566,Rate is unstable interpret with caution
92107,5.004,0.606,36.833,Rate is unstable interpret with caution
92108,15.034,1.796,70.833,Rate is unstable interpret with caution
92109,5.326,1.061,36.331,Rate is unstable interpret with caution
92110,30.127,13.38,66.877,Rate may be unstable
92111,10.782,3.76,29.675,Rate may be unstable
92113,16.282,6.711,35.622,Rate may be unstable
92114,46.85,31.197,68.328,Rate is stable
92115,12.914,4.647,30.385,Rate may be unstable
92116,4.532,0.549,38.512,Rate is unstable interpret with caution
92117,9.836,3.059,24.965,Rate may be unstable
92118,13.151,1.576,60.775,Rate is unstable interpret with caution
92119,1.975,0.05,26.047,Rate is unstable interpret with caution
92120,9.318,1.716,33.264,Rate is unstable interpret with caution
92121,0,,,Not applicable
92122,10.064,2.189,33.236,Rate is unstable interpret with caution
92123,16.704,5.026,44.953,Rate may be unstable
92124,7.038,0.687,34.502,Rate is unstable interpret with caution
92126,2.357,0.285,11.542,Rate is unstable interpret with caution
92127,0,,,Not applicable
92128,6.421,0.701,26.777,Rate is unstable interpret with caution
92129,3.778,0.435,18.818,Rate is unstable interpret with caution
92130,5.166,1.013,21.469,Rate is unstable interpret with caution
92131,0,,,Not applicable
92134,0,,,Not applicable
92135,0,,,Not applicable
92136,0,,,Not applicable
92139,4.033,0.487,20.533,Rate is unstable interpret with caution
92140,0,,,Not applicable
92145,0,,,Not applicable
92154,16.835,8.679,29.999,Rate is stable
92155,0,,,Not applicable
92173,21.231,8.289,50.117,Rate may be unstable
92182,0,,,Not applicable
92536,60.933,1.543,1612.413,Rate is unstable interpret with caution
92561,0,,,Not applicable
92590,0,,,Not applicable
92592,9.47,3.97,20.431,Rate may be unstable
92672,10.391,3.031,31.708,Rate may be unstable
California,11.461,11.126,11.81,Rate is stable
San Diego,11.355,10.227,12.578,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
