San Luis Obispo Hospitalizations - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93252,0,,,Not applicable
93401,19.348,4.798,55.578,Rate is unstable interpret with caution
93402,2.81,0.071,44.916,Rate is unstable interpret with caution
93405,31.187,5.652,119.718,Rate is unstable interpret with caution
93407,0,,,Not applicable
93420,8.931,0.889,38.282,Rate is unstable interpret with caution
93422,4.758,0.54,23.256,Rate is unstable interpret with caution
93426,0,,,Not applicable
93428,0,,,Not applicable
93430,0,,,Not applicable
93432,0,,,Not applicable
93433,19.229,3.622,84.817,Rate is unstable interpret with caution
93442,0,,,Not applicable
93444,15.187,2.474,51.974,Rate is unstable interpret with caution
93445,21.676,2.498,113.533,Rate is unstable interpret with caution
93446,17.781,7.267,38.543,Rate may be unstable
93449,4.232,0.107,163.183,Rate is unstable interpret with caution
93451,0,,,Not applicable
93452,0,,,Not applicable
93453,22.79,0.577,3723.485,Rate is unstable interpret with caution
93454,16.681,6.058,38.811,Rate may be unstable
93461,118.837,3.009,1414.37,Rate is unstable interpret with caution
93465,3.826,0.097,213.168,Rate is unstable interpret with caution
California,11.461,11.126,11.81,Rate is stable
San Luis Obispo,10.367,6.968,15.185,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
