Santa Clara Hospitalizations - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94022,2.55,0.065,59.549,Rate is unstable interpret with caution
94024,17.747,2.567,72.079,Rate is unstable interpret with caution
94035,0,,,Not applicable
94040,4.847,0.553,22.972,Rate is unstable interpret with caution
94041,11.53,0.292,93.998,Rate is unstable interpret with caution
94043,1.796,0.045,29.798,Rate is unstable interpret with caution
94085,10.51,1.201,71.964,Rate is unstable interpret with caution
94086,5.617,1.02,23.79,Rate is unstable interpret with caution
94087,2.513,0.064,17.761,Rate is unstable interpret with caution
94089,16.954,3.496,59.377,Rate is unstable interpret with caution
94301,0,,,Not applicable
94303,12.789,4.587,29.781,Rate may be unstable
94304,0,,,Not applicable
94305,0,,,Not applicable
94306,0,,,Not applicable
94550,11.708,4.06,27.983,Rate may be unstable
95002,0,,,Not applicable
95008,4.075,0.482,18.778,Rate is unstable interpret with caution
95013,0,,,Not applicable
95014,5.413,1.456,17.754,Rate is unstable interpret with caution
95020,15.148,7.154,29.5,Rate may be unstable
95023,5.211,1.059,17.543,Rate is unstable interpret with caution
95030,0,,,Not applicable
95032,9.24,0.234,51.484,Rate is unstable interpret with caution
95033,0,,,Not applicable
95035,1.564,0.04,9.614,Rate is unstable interpret with caution
95037,1.651,0.042,13.601,Rate is unstable interpret with caution
95046,0,,,Not applicable
95050,3.879,0.098,21.614,Rate is unstable interpret with caution
95051,8.754,2.273,24.458,Rate is unstable interpret with caution
95053,0,,,Not applicable
95054,0,,,Not applicable
95070,2.101,0.053,31.727,Rate is unstable interpret with caution
95076,4.589,1.2,13.078,Rate is unstable interpret with caution
95110,25.34,4.646,105.606,Rate is unstable interpret with caution
95111,5.442,1.459,20.651,Rate is unstable interpret with caution
95112,3.189,0.386,16.629,Rate is unstable interpret with caution
95113,0,,,Not applicable
95116,1.495,0.038,10.747,Rate is unstable interpret with caution
95117,4.295,0.109,27.489,Rate is unstable interpret with caution
95118,10.548,2.845,32.009,Rate is unstable interpret with caution
95119,0,,,Not applicable
95120,0,,,Not applicable
95121,2.484,0.063,16.293,Rate is unstable interpret with caution
95122,3.232,0.387,14.337,Rate is unstable interpret with caution
95123,1.596,0.04,10.393,Rate is unstable interpret with caution
95124,0,,,Not applicable
95125,8.174,2.952,23.171,Rate may be unstable
95126,5.852,0.705,28.693,Rate is unstable interpret with caution
95127,4.698,0.95,14.449,Rate is unstable interpret with caution
95128,5.261,1.084,24.548,Rate is unstable interpret with caution
95129,3.273,0.083,20.444,Rate is unstable interpret with caution
95130,0,,,Not applicable
95131,0,,,Not applicable
95132,6.679,1.285,22.745,Rate is unstable interpret with caution
95133,0,,,Not applicable
95134,0,,,Not applicable
95135,0,,,Not applicable
95136,3.418,0.414,16.993,Rate is unstable interpret with caution
95138,0,,,Not applicable
95139,0,,,Not applicable
95140,0,,,Not applicable
95148,1.961,0.05,13.832,Rate is unstable interpret with caution
California,8.385,8.11,8.665,Rate is stable
Santa Clara,4.343,3.485,5.36,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
