Siskiyou Hospitalizations - by Zip Code 2011,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95568,0,,,Not applicable
96014,0,,,Not applicable
96023,0,,,Not applicable
96025,81.704,14.877,460.498,Rate is unstable interpret with caution
96027,0,,,Not applicable
96031,0,,,Not applicable
96032,0,,,Not applicable
96034,0,,,Not applicable
96038,310.359,7.858,8000.069,Rate is unstable interpret with caution
96039,0,,,Not applicable
96044,66.976,1.696,1066.746,Rate is unstable interpret with caution
96050,0,,,Not applicable
96057,0,,,Not applicable
96058,177.827,4.502,1817.071,Rate is unstable interpret with caution
96064,0,,,Not applicable
96067,31.79,7.815,179.951,Rate is unstable interpret with caution
96085,0,,,Not applicable
96086,0,,,Not applicable
96094,114.651,38.45,285.784,Rate may be unstable
96097,29.972,7.84,116.977,Rate is unstable interpret with caution
96134,0,,,Not applicable
California,12.762,12.405,13.127,Rate is stable
Siskiyou,38.548,22.575,64.61,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
