Solano Hospitalizations - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94503,0,,,Not applicable
94510,2.929,0.355,23.06,Rate is unstable interpret with caution
94512,0,,,Not applicable
94533,5.583,1.805,14.808,Rate may be unstable
94534,1.501,0.038,15.743,Rate is unstable interpret with caution
94535,0,,,Not applicable
94571,4.089,0.104,126.834,Rate is unstable interpret with caution
94585,2.17,0.055,21.871,Rate is unstable interpret with caution
94589,7.718,0.799,31.565,Rate is unstable interpret with caution
94590,0,,,Not applicable
94591,5.058,1.622,15.947,Rate may be unstable
94592,0,,,Not applicable
95616,0,,,Not applicable
95618,7.229,1.327,29.058,Rate is unstable interpret with caution
95620,0,,,Not applicable
95687,2.266,0.268,10.882,Rate is unstable interpret with caution
95688,1.408,0.036,15.372,Rate is unstable interpret with caution
95690,23.42,0.593,465.171,Rate is unstable interpret with caution
95694,5.054,0.128,100.33,Rate is unstable interpret with caution
California,8.385,8.11,8.665,Rate is stable
Solano,3.888,2.498,6.053,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
